fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
03/04/2020;Ávila;AV;0-9;71;57;1.220.980.224;1.067.615.658;128
03/04/2020;Salamanca;SA;0-9;161;184;1.438.913.218;1.733.396.138;345
03/04/2020;Soria;SO;0-9;26;20;7.705.986.959;6.180.469.716;46
03/04/2020;Palencia;PA;10-19;36;21;5.730.659.026;3.547.896.604;57
03/04/2020;Segovia;SE;10-19;36;30;4.961.411.246;435.413.643;66
03/04/2020;Valladolid;VA;10-19;85;89;3.446.039.082;3.811.236.725;174
03/04/2020;Ávila;AV;20-29;75;99;1.050.126.015;1.500.454.683;174
03/04/2020;Palencia;PA;20-29;74;80;1.077.931.537;1.223.802.968;154
03/04/2020;Salamanca;SA;20-29;172;266;1.055.214.724;1.536.151.536;438
03/04/2020;Soria;SO;20-29;42;58;9.538.950.715;1.411.535.653;100
03/04/2020;Valladolid;VA;20-29;189;263;7.869.098.176;1.119.053.698;452
03/04/2020;Zamora;ZA;20-29;26;36;3.913.305.238;5.890.052.356;62
03/04/2020;Burgos;BU;30-39;344;439;1.649.959.231;2.195.329.299;783
03/04/2020;León;LE;30-39;264;428;1.081.479.661;1.743.735.995;692
03/04/2020;Palencia;PA;30-39;123;133;1.331.601.169;1.542.923.434;256
03/04/2020;Segovia;SE;30-39;162;202;1.821.862.348;2.297.281.929;364
03/04/2020;Valladolid;VA;30-39;354;505;1.130.918.152;1.616.155.151;859
03/04/2020;Castilla y León;CyL;30-39;1808;2604;1.339.308.863;196.093.197;4412
03/04/2020;Palencia;PA;40-49;163;214;143.624.989;1.941.219.158;377
03/04/2020;Zamora;ZA;40-49;74;113;6.718.721.627;1.041.762.699;187
03/04/2020;Castilla y León;CyL;40-49;2615;3742;1.456.183.629;2.108.869.991;6357
03/04/2020;Ávila;AV;50-59;186;292;1.561.319.567;2.519.848.119;478
03/04/2020;Burgos;BU;50-59;409;567;1.465.004.656;2.122.720.976;976
03/04/2020;Zamora;ZA;50-59;80;120;6.215.523.269;9.628.500.361;200
03/04/2020;Burgos;BU;60-69;315;317;1.351.293.381;1.461.233.521;632
03/04/2020;Palencia;PA;60-69;129;135;1.106.251.608;124.745.888;264
03/04/2020;Salamanca;SA;60-69;407;459;2.029.014.407;224.625.624;866
03/04/2020;Soria;SO;60-69;107;130;1.969.083.548;2.648.197.189;237
03/04/2020;Zamora;ZA;60-69;67;75;5.779.349.608;6.996.268.657;142
03/04/2020;Castilla y León;CyL;60-69;2204;2464;1.446.554.915;1.648.678.849;4668
03/04/2020;Ávila;AV;70-79;126;119;1.778.656.126;1.564.965.807;245
03/04/2020;Segovia;SE;70-79;199;149;3.507.844.174;2.378.292.099;348
03/04/2020;Valladolid;VA;70-79;284;259;1.185.160.456;944.359.367;543
03/04/2020;Zamora;ZA;70-79;43;40;4.879.155.793;4.044.489.383;83
03/04/2020;Burgos;BU;80->80;216;247;195.971.693;1.328.242.633;463
04/04/2020;Segovia;SE;0-9;65;57;1.095.751.854;1.014.595.942;122
04/04/2020;Soria;SO;0-9;26;20;7.705.986.959;6.180.469.716;46
04/04/2020;Burgos;BU;10-19;85;79;5.254.373.493;5.162.049.137;164
04/04/2020;León;LE;10-19;71;80;4.161.538.011;491.914.161;151
04/04/2020;Salamanca;SA;10-19;96;95;6.786.850.477;6.919.155.135;191
04/04/2020;Segovia;SE;10-19;36;32;4.961.411.246;4.644.412.192;68
04/04/2020;Valladolid;VA;10-19;87;90;3.527.122.355;3.854.059.609;177
04/04/2020;Castilla y León;CyL;10-19;497;478;4.857.547.769;4.913.752.339;975
04/04/2020;Ávila;AV;20-29;76;102;1.064.127.695;1.545.923.007;178
04/04/2020;Castilla y León;CyL;20-29;977;1390;9.084.822.674;1.341.672.941;2367
04/04/2020;Castilla y León;CyL;30-39;1837;2636;136.079.114;1.985.029.444;4473
04/04/2020;Soria;SO;40-49;134;178;1.979.612.941;2.864.038.616;312
04/04/2020;Ávila;AV;50-59;188;298;1.578.107.949;257.162.582;486
04/04/2020;Palencia;PA;50-59;166;216;1.306.880.806;1.775.002.054;382
04/04/2020;Castilla y León;CyL;50-59;2693;3802;1.466.288.434;2.086.786.612;6495
04/04/2020;León;LE;60-69;359;420;1.186.031.914;1.397.205.589;779
04/04/2020;Valladolid;VA;60-69;338;417;1.084.932.914;1.239.448.341;755
04/04/2020;Ávila;AV;70-79;130;124;18.351.214;1.630.720.673;254
04/04/2020;León;LE;70-79;318;272;1.522.405.209;1.097.880.928;590
04/04/2020;Palencia;PA;70-79;69;75;9.272.947.185;9.523.809.524;144
04/04/2020;Salamanca;SA;80->80;282;345;2.268.522.243;1.728.283.739;627
04/04/2020;Segovia;SE;80->80;250;287;5.209.418.629;3.586.155.192;537
04/04/2020;Soria;SO;80->80;90;136;2.465.753.425;2.392.260.334;226
04/04/2020;Valladolid;VA;80->80;213;293;1.553.610.503;1.258.212.737;506
04/04/2020;Zamora;ZA;80->80;46;40;5.877.843.087;3.226.326.827;86
05/04/2020;León;LE;0-9;154;145;1.067.221.067;10.804.769;299
05/04/2020;Soria;SO;0-9;26;20;7.705.986.959;6.180.469.716;46
05/04/2020;Zamora;ZA;0-9;103;89;2.106.770.301;1.983.950.067;192
05/04/2020;Castilla y León;CyL;0-9;893;824;1.031.130.202;1.011.936.926;1717
05/04/2020;Burgos;BU;10-19;87;79;5.378.005.811;5.162.049.137;166
05/04/2020;Salamanca;SA;10-19;96;95;6.786.850.477;6.919.155.135;191
05/04/2020;Segovia;SE;10-19;36;32;4.961.411.246;4.644.412.192;68
05/04/2020;Salamanca;SA;20-29;174;269;1.121.631.464;1.553.476.553;443
05/04/2020;Soria;SO;20-29;42;60;1.102.035.524;1.460.209.297;102
05/04/2020;Palencia;PA;30-39;130;141;1.089.672.689;1.635.730.858;271
