año;mes;sigla;provincia;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2017;Enero;BU;Burgos;449;1.256837025;160;0.447870655
2017;Enero;VA;Valladolid;538;1.028914801;153;0.2926096
2017;Febrero;VA;Valladolid;446;0.853165608;137;0.26207105
2017;Febrero;ZA;Zamora;234;1.40206235;66;0.395453483
2017;Abril;LE;León;523;1.17044656;118;0.264077809
2017;Abril;SO;Soria;76;0.868779936;24;0.274351559
2017;Abril;ZA;Zamora;189;1.136479799;55;0.330721635
2017;Mayo;BU;Burgos;360;1.009678894;124;0.347778286
2017;Mayo;SO;Soria;112;1.280468286;44;0.503041112
2018;Enero;VA;Valladolid;563;1.075889376;170;0.324868906
2018;Enero;ZA;Zamora;290;1.764000998;60;0.364965724
2018;Febrero;PA;Palencia;213;1.366383126;83;0.532440373
2018;Febrero;SE;Segovia;162;1.109627042;60;0.410972979
2018;Febrero;VA;Valladolid;430;0.821769633;144;0.275197272
2018;Febrero;ZA;Zamora;216;1.31619838;50;0.304675551
2018;Marzo;BU;Burgos;350;0.984952736;108;0.303928273
2018;Marzo;LE;León;547;1.237013618;134;0.303034415
2018;Marzo;PA;Palencia;149;0.956937799;53;0.340387271
2018;Marzo;SE;Segovia;128;0.877331268;48;0.328999225
2018;Marzo;SO;Soria;95;1.088725389;34;0.389649087
2018;Abril;SE;Segovia;182;1.247258772;79;0.541392544
2018;Mayo;AV;Ávila;169;1.123946716;67;0.445588343
2018;Mayo;BU;Burgos;337;0.95075002;114;0.321618701
2018;Mayo;SA;Salamanca;326;1.001997848;102;0.313508529
2018;Mayo;SE;Segovia;151;1.03557296;54;0.37033735
2018;Mayo;SO;Soria;107;1.226445372;27;0.309476869
2018;Mayo;VA;Valladolid;406;0.775922698;134;0.256092713
2019;Enero;BU;Burgos;524;1.481029259;155;0.438090716
2019;Enero;SE;Segovia;216;1.477114976;78;0.53340263
2019;Febrero;BU;Burgos;344;0.972828669;109;0.308250945
2019;Febrero;SO;Soria;97;1.110716699;20;0.229013752
2019;Marzo;BU;Burgos;309;0.876332224;107;0.303454848
2019;Marzo;SA;Salamanca;360;1.114364781;114;0.352882181
2019;Abril;BU;Burgos;194;0.550557652;61;0.173113489
2019;Abril;LE;León;327;0.750685259;90;0.206610622
2019;Abril;PA;Palencia;167;1.085261243;59;0.383415649
2019;Mayo;SA;Salamanca;449;1.393959715;140;0.434642227
2020;Enero;AV;Ávila;213;1.429041066;78;0.523310813
2020;Enero;BU;Burgos;430;1.230645946;147;0.420709196
2020;Enero;LE;León;662;1.524885346;172;0.396193776
2020;Enero;PA;Palencia;233;1.51589083;76;0.494453661
2020;Enero;SA;Salamanca;429;1.334469758;157;0.488372382
2020;Febrero;AV;Ávila;161;1.081451429;56;0.376157019
2020;Febrero;LE;León;545;1.255743008;140;0.322576186
2020;Febrero;SA;Salamanca;303;0.942718202;79;0.245791214
2020;Febrero;SO;Soria;105;1.202253366;30;0.343500962
2020;Marzo;PA;Palencia;199;1.297414299;63;0.4107392
2020;Marzo;SA;Salamanca;540;1.679031385;177;0.550349176
2020;Abril;PA;Palencia;286;1.867035722;126;0.822540213
2020;Abril;SA;Salamanca;835;2.598437203;364;1.132731907
2020;Abril;VA;Valladolid;879;1.689273593;435;0.835988638
2020;Mayo;PA;Palencia;176;1.150687797;67;0.438045923
2020;Mayo;SA;Salamanca;486;1.516068454;208;0.648852342
2020;Mayo;SO;Soria;121;1.389957842;46;0.528413725
2020;Mayo;VA;Valladolid;429;0.826151846;150;0.288864282
2017;Enero;AV;Ávila;238;1.556033553;89;0.581878093
2017;Enero;PA;Palencia;238;1.511475785;85;0.53981278
2017;Enero;SE;Segovia;201;1.373523121;69;0.471507937
2017;Enero;ZA;Zamora;319;1.908533959;88;0.526492127
2017;Febrero;LE;León;619;1.381295606;169;0.37712271
2017;Febrero;SO;Soria;117;1.335616438;40;0.456621005
2017;Marzo;PA;Palencia;179;1.139292875;68;0.432803997
2017;Marzo;SO;Soria;76;0.868472175;20;0.228545309
2017;Abril;BU;Burgos;271;0.759948739;91;0.255185739
2017;Abril;PA;Palencia;160;1.019251105;55;0.350367567
2017;Mayo;AV;Ávila;177;1.163256856;60;0.394324358
2017;Mayo;LE;León;567;1.271808031;142;0.31851277
2017;Mayo;SE;Segovia;153;1.049123673;59;0.404564031
2017;Mayo;ZA;Zamora;252;1.518364986;46;0.277161863
2018;Enero;LE;León;684;1.545099279;159;0.359167815
2018;Enero;SA;Salamanca;359;1.099860603;104;0.31862257
2018;Enero;SE;Segovia;206;1.410485522;87;0.595690487
2018;Enero;SO;Soria;149;1.704903026;52;0.594999714
2018;Febrero;BU;Burgos;374;1.051125744;122;0.34288059
2018;Febrero;SA;Salamanca;356;1.091114162;130;0.398440565
2018;Marzo;ZA;Zamora;217;1.323606553;52;0.317177607
2018;Abril;BU;Burgos;384;1.081943102;134;0.377553062
2018;Abril;SA;Salamanca;403;1.237361564;149;0.457486037
2018;Mayo;LE;León;572;1.296226214;141;0.319524294
2018;Mayo;PA;Palencia;186;1.196564701;69;0.443886905
2018;Mayo;ZA;Zamora;212;1.299186783;51;0.312540217
2019;Enero;AV;Ávila;235;1.564653479;70;0.466066994
2019;Enero;PA;Palencia;257;1.658353391;91;0.58719906
2019;Enero;SA;Salamanca;539;1.659983616;156;0.480440527
2019;Enero;ZA;Zamora;306;1.888341037;59;0.364091899
2019;Febrero;LE;León;561;1.278877324;161;0.367021834
2019;Febrero;ZA;Zamora;212;1.314753143;53;0.328688286
2019;Marzo;SO;Soria;97;1.116713868;24;0.276300338
2019;Marzo;VA;Valladolid;420;0.805061923;128;0.245352205
2019;Marzo;ZA;Zamora;250;1.558972824;67;0.417804717
2019;Abril;SA;Salamanca;218;0.677027044;77;0.239133405
2019;Abril;SO;Soria;55;0.633932688;18;0.20746888
2019;Abril;VA;Valladolid;238;0.457501389;73;0.140326056
2019;Abril;ZA;Zamora;149;0.930691585;44;0.274835099
2019;Mayo;AV;Ávila;252;1.690503663;85;0.570209569
2019;Mayo;LE;León;734;1.684656998;180;0.413131144
2019;Mayo;SE;Segovia;222;1.527505419;86;0.591736333
2019;Mayo;SO;Soria;150;1.726598831;46;0.529490308
2020;Enero;VA;Valladolid;521;1.00064533;164;0.314982407
2020;Febrero;SE;Segovia;168;1.150031147;68;0.465488797
2020;Febrero;ZA;Zamora;199;1.254776347;55;0.346797483
2020;Marzo;AV;Ávila;256;1.720314495;88;0.591358108
2020;Marzo;SO;Soria;188;2.151768342;82;0.938537255
2020;Marzo;VA;Valladolid;550;1.055988511;195;0.374395927
2020;Marzo;ZA;Zamora;211;1.331532714;63;0.39756664
2020;Abril;BU;Burgos;597;1.709010234;278;0.795820511
2020;Abril;SE;Segovia;682;4.673441558;357;2.446361637
2020;Mayo;SE;Segovia;145;0.997420464;53;0.364574377
2017;Enero;LE;León;730;1.627259494;179;0.399012945
2017;Enero;SA;Salamanca;427;1.297955189;133;0.404281124
2017;Enero;SO;Soria;130;1.482782613;43;0.490458864
2017;Febrero;AV;Ávila;207;1.354942595;68;0.445101915
2017;Febrero;BU;Burgos;412;1.15362861;133;0.372409236
2017;Febrero;PA;Palencia;238;1.513003566;79;0.50221547
2017;Febrero;SA;Salamanca;445;1.353459839;131;0.398434245
2017;Febrero;SE;Segovia;188;1.286006471;79;0.540396336
2017;Marzo;AV;Ávila;203;1.331068986;72;0.472103286
2017;Marzo;BU;Burgos;420;1.176866174;114;0.319435104
2017;Marzo;LE;León;557;1.245112876;143;0.319660936
2017;Marzo;SA;Salamanca;331;1.007772944;96;0.2922846
2017;Marzo;SE;Segovia;166;1.136433652;57;0.390221194
2017;Marzo;VA;Valladolid;430;0.822487969;116;0.221880475
2017;Marzo;ZA;Zamora;244;1.465113486;48;0.288219046
2017;Abril;AV;Ávila;161;1.057242108;47;0.308635895
2017;Abril;SA;Salamanca;267;0.813734125;79;0.240767775
2017;Abril;SE;Segovia;123;0.842881421;40;0.274107779
2017;Abril;VA;Valladolid;393;0.751682679;112;0.21422
2017;Mayo;PA;Palencia;183;1.166697481;68;0.433526933
2017;Mayo;SA;Salamanca;383;1.168409621;115;0.350827954
2017;Mayo;VA;Valladolid;423;0.809333935;116;0.221945004
2018;Enero;AV;Ávila;241;1.594178932;79;0.522573177
2018;Enero;BU;Burgos;413;1.16027532;139;0.390504284
2018;Enero;PA;Palencia;227;1.454969651;92;0.58967933
2018;Febrero;AV;Ávila;194;1.284674626;56;0.370833913
2018;Febrero;LE;León;573;1.294988417;155;0.350302277
2018;Febrero;SO;Soria;109;1.248110658;38;0.435121147
2018;Marzo;AV;Ávila;177;1.173825677;44;0.291798473
2018;Marzo;SA;Salamanca;377;1.156572985;135;0.414157435
2018;Marzo;VA;Valladolid;419;0.800593089;131;0.25030476
2018;Abril;AV;Ávila;201;1.336276244;66;0.438777274
2018;Abril;LE;León;544;1.231326392;133;0.301041195
2018;Abril;PA;Palencia;205;1.317192901;75;0.481899842
2018;Abril;SO;Soria;114;1.306425551;35;0.401095564
2018;Abril;VA;Valladolid;436;0.832975116;135;0.257916607
2018;Abril;ZA;Zamora;252;1.541699295;70;0.428249804
2019;Enero;LE;León;799;1.816871207;216;0.491169187
2019;Enero;SO;Soria;165;1.889017368;49;0.560980915
2019;Enero;VA;Valladolid;584;1.114070095;189;0.360546657
2019;Febrero;AV;Ávila;204;1.360480703;70;0.466831614
2019;Febrero;PA;Palencia;219;1.415240656;78;0.504058316
2019;Febrero;SA;Salamanca;285;0.878220141;72;0.221866141
2019;Febrero;SE;Segovia;155;1.060764709;67;0.4585241
2019;Febrero;VA;Valladolid;446;0.850617461;142;0.270824393
2019;Marzo;AV;Ávila;151;1.013763008;51;0.342396777
2019;Marzo;LE;León;542;1.24028879;152;0.347830067
2019;Marzo;PA;Palencia;169;1.096669111;51;0.330947483
2019;Marzo;SE;Segovia;126;0.866104386;45;0.309322995
2019;Abril;AV;Ávila;127;0.852451974;40;0.268488811
2019;Abril;SE;Segovia;104;0.716287975;36;0.247945838
2019;Mayo;BU;Burgos;486;1.380375939;158;0.448764194
2019;Mayo;PA;Palencia;185;1.202110516;73;0.474346312
2019;Mayo;VA;Valladolid;612;1.176151793;196;0.376676064
2019;Mayo;ZA;Zamora;321;2.005986714;92;0.574924541
2020;Enero;SE;Segovia;159;1.089108233;57;0.390435027
2020;Enero;SO;Soria;126;1.443795119;45;0.515641114
2020;Enero;ZA;Zamora;281;1.769844619;62;0.390499524
2020;Febrero;BU;Burgos;351;1.004849616;128;0.366440886
2020;Febrero;PA;Palencia;212;1.380846615;65;0.423372783
2020;Febrero;VA;Valladolid;432;0.829623712;129;0.247734858
2020;Marzo;BU;Burgos;391;1.119176561;125;0.357793018
2020;Marzo;LE;León;640;1.475232234;187;0.431044418
2020;Marzo;SE;Segovia;273;1.869274064;126;0.862741876
2020;Abril;AV;Ávila;394;2.650253927;187;1.257861635
2020;Abril;LE;León;959;2.212807982;389;0.897583217
2020;Abril;SO;Soria;315;3.608660786;153;1.752778096
2020;Abril;ZA;Zamora;348;2.198204799;116;0.732734933
2020;Mayo;AV;Ávila;177;1.193566877;78;0.525978624
2020;Mayo;BU;Burgos;332;0.954288983;114;0.327677542
2020;Mayo;LE;León;622;1.43820682;234;0.54106173
2020;Mayo;ZA;Zamora;237;1.49997152;77;0.487332519
