año;periodo;orden_periodo;provincia;sigla;pacientes_total;tasa_pacientes_total;pacientes_residencias;tasa_pacientes_residencias
2017;trimestre;1;León;LE;1906;4.248707666;491;57.71039022
2017;trimestre;1;Palencia;PA;655;4.159733777;232;45.33020711
2017;trimestre;1;Segovia;SE;555;3.792563841;205;63.25208269
2018;trimestre;1;Ávila;AV;612;4.048288407;179;41.7054986
2018;trimestre;1;León;LE;1804;4.075086404;448;52.65632346
2018;trimestre;1;Salamanca;SA;1092;3.345536986;369;46.36260837
2018;trimestre;1;Valladolid;VA;1412;2.698322912;445;50.33367266
2019;trimestre;1;León;LE;1902;4.325017566;529;62.1767748
2019;trimestre;1;Valladolid;VA;1450;2.766098694;459;51.91720394
2019;trimestre;1;Zamora;ZA;768;4.73936574;179;38.5609651
2020;trimestre;1;León;LE;1847;4.254476183;499;58.65068171
2020;trimestre;1;Palencia;PA;644;4.189844182;204;39.85932005
2020;trimestre;1;Soria;SO;419;4.801191704;157;55.77264654
2017;cuatrimestre;1;Burgos;BU;1552;4.344345353;498;1.393997414
2017;cuatrimestre;1;León;LE;2429;5.414538783;609;1.35753566
2017;cuatrimestre;1;Salamanca;SA;1470;4.468370322;439;1.334431681
2017;cuatrimestre;1;Soria;SO;399;4.551002019;127;1.448564552
2017;cuatrimestre;1;Valladolid;VA;1807;3.455853244;518;0.99066518
2019;cuatrimestre;1;Salamanca;SA;1402;4.317805249;419;1.29041398
2019;cuatrimestre;1;Segovia;SE;601;4.10993565;226;1.545499928
2019;cuatrimestre;1;Soria;SO;414;4.739716304;111;1.270793502
2020;cuatrimestre;1;León;LE;2806;6.463486828;888;2.045465539
2020;cuatrimestre;1;Segovia;SE;1282;8.781363235;608;4.164640286
2020;cuatrimestre;1;Zamora;ZA;1039;6.544016225;296;1.86432031
2017;5 meses;1;Salamanca;SA;1853;5.632578371;554;1.686725712
2017;5 meses;1;Segovia;SE;831;5.67859559;304;2.0811797
2017;5 meses;1;Soria;SO;511;5.82847627;171;1.954062393
2017;5 meses;1;Zamora;ZA;1238;7.406786962;303;1.819382731
2018;5 meses;1;Burgos;BU;1858;5.219834246;617;1.736330967
2018;5 meses;1;León;LE;2920;6.596037859;722;1.632767518
2018;5 meses;1;Palencia;PA;980;6.281366774;372;2.389133297
2018;5 meses;1;Segovia;SE;829;5.676177173;328;2.248161374
2019;5 meses;1;Salamanca;SA;1851;5.700611638;559;1.730360868
2019;5 meses;1;Segovia;SE;823;5.628081597;312;2.144639432
2019;5 meses;1;Soria;SO;564;6.45700482;157;1.807464714
