fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000
2020-06-10;Soria;SO;>80;93;120;25.47945205;21.10817942
2020-06-10;Valladolid;VA;>80;188;250;13.71261853;10.73560356
2020-06-11;Ávila;AV;0-9;0;0;0.0;0.0
2020-06-11;Burgos;BU;0-9;0;0;0.0;0.0
2020-06-11;Palencia;PA;0-9;0;0;0.0;0.0
2020-06-11;Soria;SO;0-9;0;0;0.0;0.0
2020-06-11;Ávila;AV;10-19;0;0;0.0;0.0
2020-06-11;Zamora;ZA;10-19;0;0;0.0;0.0
2020-06-11;León;LE;20-29;0;0;0.0;0.0
2020-06-11;Zamora;ZA;20-29;0;0;0.0;0.0
2020-06-11;Ávila;AV;30-39;0;0;0.0;0.0
2020-06-11;Segovia;SE;30-39;1;0;0.112460639;0.0
2020-06-11;Soria;SO;30-39;0;0;0.0;0.0
2020-06-11;Zamora;ZA;30-39;0;0;0.0;0.0
2020-06-11;León;LE;40-49;4;1;0.125062531;0.030556744
2020-06-11;Soria;SO;40-49;0;1;0.0;0.160901046
2020-06-11;Valladolid;VA;40-49;3;1;0.06684343;0.02282636
2020-06-11;Burgos;BU;50-59;2;1;0.07163837;0.03743776
2020-06-11;León;LE;50-59;10;4;0.286204923;0.112236595
2020-06-11;Palencia;PA;50-59;4;1;0.314911038;0.082176021
2020-06-11;Segovia;SE;50-59;9;4;0.769954658;0.346350333
2020-06-11;Soria;SO;50-59;3;0;0.411015208;0.0
2020-06-11;Valladolid;VA;50-59;5;4;0.126656028;0.099090842
2020-06-11;Zamora;ZA;50-59;2;1;0.155388082;0.080237503
2020-06-11;Palencia;PA;60-69;7;0;0.60029157;0.0
2020-06-11;Segovia;SE;60-69;28;9;3.185437998;1.10633067
2020-06-11;Valladolid;VA;60-69;24;10;0.770366566;0.297229818
2020-06-11;Ávila;AV;70-79;22;21;3.105590062;2.761704366
2020-06-11;Burgos;BU;70-79;42;15;2.582231786;0.873006635
2020-06-11;Segovia;SE;70-79;55;20;9.695046712;3.192338388
2020-06-11;Valladolid;VA;70-79;73;30;3.046363143;1.093852549
2020-06-11;Castilla y León;CyL;70-79;389;173;3.56422943;1.410885841
2020-06-11;Ávila;AV;>80;116;127;19.57475532;14.08138375
2020-06-11;Valladolid;VA;>80;188;250;13.71261853;10.73560356
2020-06-11;Zamora;ZA;>80;48;57;6.133401482;4.597515728
2020-06-11;Castilla y León;CyL;>80;1320;1524;16.16696061;11.23993274
2020-05-25;León;LE;20-29;0;0;0.0;0.0
2020-05-25;Palencia;PA;20-29;0;0;0.0;0.0
2020-05-25;Salamanca;SA;20-29;0;0;0.0;0.0
2020-05-25;Burgos;BU;30-39;0;0;0.0;0.0
2020-05-25;Segovia;SE;30-39;1;0;0.112460639;0.0
2020-05-25;Castilla y León;CyL;30-39;3;0;0.022223045;0.0
2020-05-25;León;LE;40-49;3;1;0.093796898;0.030556744
2020-05-25;Zamora;ZA;40-49;0;0;0.0;0.0
2020-05-25;León;LE;50-59;8;4;0.228963938;0.112236595
2020-05-25;Salamanca;SA;50-59;12;3;0.482858522;0.118553646
2020-05-25;Segovia;SE;50-59;8;4;0.684404141;0.346350333
2020-05-25;Castilla y León;CyL;50-59;49;22;0.26679589;0.120750409
2020-05-25;Palencia;PA;60-69;7;0;0.60029157;0.0
2020-05-25;Soria;SO;60-69;4;1;0.736105999;0.203707476
2020-05-25;Burgos;BU;70-79;38;14;2.336304949;0.814806193
2020-05-25;León;LE;70-79;70;32;3.351206434;1.291624622
2020-05-25;Valladolid;VA;70-79;71;30;2.962901139;1.093852549
2020-05-25;Zamora;ZA;70-79;13;2;1.475093612;0.202224469
2020-05-25;Valladolid;VA;>80;178;233;12.98322392;10.00558251
2020-05-26;Ávila;AV;0-9;0;0;0.0;0.0
2020-05-26;Palencia;PA;0-9;0;0;0.0;0.0
2020-05-26;Salamanca;SA;0-9;0;0;0.0;0.0
2020-05-26;Castilla y León;CyL;0-9;0;0;0.0;0.0
2020-05-26;Burgos;BU;10-19;0;0;0.0;0.0
2020-05-26;Salamanca;SA;10-19;0;0;0.0;0.0
2020-05-26;Segovia;SE;10-19;0;0;0.0;0.0
2020-05-26;Zamora;ZA;10-19;0;0;0.0;0.0
2020-05-26;León;LE;20-29;0;0;0.0;0.0
2020-05-26;Palencia;PA;20-29;0;0;0.0;0.0
2020-05-26;Salamanca;SA;20-29;0;0;0.0;0.0
2020-05-26;Valladolid;VA;20-29;0;0;0.0;0.0
2020-05-26;Salamanca;SA;30-39;0;0;0.0;0.0
2020-05-26;Segovia;SE;30-39;1;0;0.112460639;0.0
2020-05-26;Zamora;ZA;30-39;0;0;0.0;0.0
2020-05-26;Castilla y León;CyL;30-39;3;0;0.022223045;0.0
2020-05-26;Palencia;PA;40-49;0;0;0.0;0.0
2020-05-26;Salamanca;SA;40-49;4;0;0.175592625;0.0
2020-05-26;Segovia;SE;40-49;3;1;0.263689901;0.086813091
2020-05-26;Soria;SO;40-49;0;1;0.0;0.160901046
2020-05-26;Castilla y León;CyL;40-49;13;5;0.072391538;0.02817838
2020-05-26;Segovia;SE;50-59;8;4;0.684404141;0.346350333
2020-05-26;Soria;SO;50-59;3;0;0.411015208;0.0
