año;mes;valor;sigla;provincia;CCAA;Pacientes desplazados;mes_numero;mes_ano
2020;Enero;altas;AV;Ávila;MELILLA;0;01;2020-01
2020;Enero;altas;AV;Ávila;MADRID;1036;01;2020-01
2020;Enero;altas;AV;Ávila;LA RIOJA;1;01;2020-01
2020;Enero;altas;AV;Ávila;CEUTA;0;01;2020-01
2020;Enero;altas;AV;Ávila;MURCIA;7;01;2020-01
2020;Enero;altas;AV;Ávila;GALICIA;14;01;2020-01
2020;Enero;altas;AV;Ávila;CASTILLA-LA MANCHA;94;01;2020-01
2020;Enero;altas;AV;Ávila;ARAGON;7;01;2020-01
2020;Enero;altas;BU;Burgos;GALICIA;32;01;2020-01
2020;Enero;altas;BU;Burgos;CASTILLA-LA MANCHA;15;01;2020-01
2020;Enero;altas;BU;Burgos;C. VALENCIANA;63;01;2020-01
2020;Enero;altas;BU;Burgos;PAIS VASCO;477;01;2020-01
2020;Enero;altas;BU;Burgos;EXTREMADURA;32;01;2020-01
2020;Enero;altas;BU;Burgos;NAVARRA;27;01;2020-01
2020;Enero;altas;LE;León;CANARIAS;38;01;2020-01
2020;Enero;altas;LE;León;CATALUÑA;132;01;2020-01
2020;Enero;altas;LE;León;CANTABRIA;49;01;2020-01
2020;Enero;altas;LE;León;PAIS VASCO;132;01;2020-01
2020;Enero;altas;PA;Palencia;CANARIAS;10;01;2020-01
2020;Enero;altas;PA;Palencia;MELILLA;0;01;2020-01
2020;Enero;altas;PA;Palencia;CATALUÑA;29;01;2020-01
2020;Enero;altas;PA;Palencia;MADRID;107;01;2020-01
2020;Enero;altas;PA;Palencia;GALICIA;11;01;2020-01
2020;Enero;altas;PA;Palencia;EXTREMADURA;14;01;2020-01
2020;Enero;altas;SA;Salamanca;CANARIAS;29;01;2020-01
2020;Enero;altas;SA;Salamanca;MADRID;254;01;2020-01
2020;Enero;altas;SA;Salamanca;ANDALUCIA;54;01;2020-01
2020;Enero;altas;SE;Segovia;ASTURIAS;6;01;2020-01
2020;Enero;altas;SE;Segovia;CANTABRIA;5;01;2020-01
2020;Enero;altas;SE;Segovia;PAIS VASCO;23;01;2020-01
2020;Enero;altas;SE;Segovia;EXTREMADURA;12;01;2020-01
2020;Enero;altas;SO;Soria;MELILLA;0;01;2020-01
2020;Enero;altas;SO;Soria;LA RIOJA;18;01;2020-01
2020;Enero;altas;SO;Soria;ASTURIAS;8;01;2020-01
2020;Enero;altas;SO;Soria;CANTABRIA;8;01;2020-01
2020;Enero;altas;SO;Soria;EXTREMADURA;14;01;2020-01
2020;Enero;altas;VA;Valladolid;CANARIAS;23;01;2020-01
2020;Enero;altas;VA;Valladolid;MELILLA;0;01;2020-01
2020;Enero;altas;VA;Valladolid;CATALUÑA;40;01;2020-01
2020;Enero;altas;VA;Valladolid;ANDALUCIA;43;01;2020-01
2020;Enero;altas;VA;Valladolid;CASTILLA-LA MANCHA;23;01;2020-01
2020;Enero;altas;VA;Valladolid;CANTABRIA;19;01;2020-01
2020;Enero;altas;ZA;Zamora;ANDALUCIA;24;01;2020-01
2020;Enero;altas;ZA;Zamora;ASTURIAS;45;01;2020-01
2020;Enero;altas;ZA;Zamora;BALEARES;10;01;2020-01
