FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-03-30;1704;Gerencia de Ponferrada;170408;C.S. TORENO;7;0.166984733;-6.5033694;42.7810332;TORENO;León
2020-03-30;1704;Gerencia de Ponferrada;170411;C.S. PONFERRADA IV;122;0.980943958;-6.6267109;42.5980544;PONFERRADA IV;León
2020-03-30;1705;Gerencia de Palencia;170504;C.S. CERVERA PISUERGA;16;0.477897252;-4.520948;42.9015008;CERVERA PISUERGA;Palencia
2020-03-30;1705;Gerencia de Palencia;170505;C.S. FROMISTA;13;0.372172917;-4.3777922;42.2112657;FROMISTA;Palencia
2020-03-30;1705;Gerencia de Palencia;170512;C.S. PAREDES DE NAVA;23;0.749674055;-4.7078451;42.1692388;PAREDES DE NAVA;Palencia
2020-03-30;1705;Gerencia de Palencia;170515;C.S. ERAS DEL BOSQUE;231;1.104576101;-4.5339183;42.0278396;ERAS DEL BOSQUE;Palencia
2020-03-30;1705;Gerencia de Palencia;170517;C.S. VENTA DE BAÑOS;131;1.317377313;-4.4303075;41.8572175;VENTA DE BAÑOS;Palencia
2020-03-30;1706;Gerencia de Salamanca;170603;C.S. BEJAR;147;0.914349692;-5.8578389;40.3892584;BEJAR;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170614;C.S. ALAMEDILLA;363;1.963223364;-5.6525688;40.9621024;ALAMEDILLA;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170615;C.S. LA ALBERCA;12;0.663716814;-6.1369235;40.5281138;LA ALBERCA;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170617;C.S. LINARES DE RIOFRIO;51;2.409069438;-5.8782411;40.6057622;LINARES DE RIOFRIO;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170620;C.S. MIRANDA DEL CASTAÑAR;3;0.177095632;-6.0341157;40.4383859;MIRANDA DEL CASTAÑAR;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170621;C.S. PEDROSILLO EL RALO;35;1.325255585;-5.4871391;41.1200652;PEDROSILLO EL RALO;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170626;C.S. ROBLEDA;1;0.060864273;-6.576536;40.3713532;ROBLEDA;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170628;C.S. SANTA MARTA DE TORMES;266;1.46081608;-5.5307167;40.9275702;SANTA MARTA DE TORMES;Salamanca
2020-03-30;1706;Gerencia de Salamanca;170635;C.S. UNIVERSIDAD CENTRO;164;1.427079708;-5.6668451;40.9635604;UNIVERSIDAD CENTRO;Salamanca
