fecha;provincia;siglas;grupo_edad;hombres;mujeres;tasa_hombres_x1000;tasa_mujeres_x1000;enfermos
2020-04-03;Burgos;BU;10-19;84;75;5.192557334;4.900679561;159
2020-04-03;Soria;SO;10-19;16;18;4.039383994;4.858299595;34
2020-04-03;Castilla y León;CyL;10-19;489;465;4.779357865;4.780114723;954
2020-04-03;Segovia;SE;20-29;84;122;10.89070401;16.95150757;206
2020-04-03;Soria;SO;30-39;67;116;12.6606198;23.43434343;183
2020-04-03;León;LE;40-49;394;629;12.31865933;19.2201919;1023
2020-04-03;Palencia;PA;50-59;162;209;12.75389702;17.1747884;371
2020-04-03;Salamanca;SA;50-59;495;739;19.91791405;29.20371468;1234
2020-04-03;Segovia;SE;50-59;324;468;27.7183677;40.522989;792
2020-04-03;Soria;SO;50-59;139;215;19.04370462;33.57801031;354
2020-04-03;Ávila;AV;60-69;196;215;19.42324844;23.79634754;411
2020-04-03;Segovia;SE;60-69;290;307;32.99203641;37.73816841;597
2020-04-03;Valladolid;VA;60-69;336;412;10.78513193;12.24586851;748
2020-04-03;Burgos;BU;70-79;203;161;12.48078697;9.370271214;364
2020-04-03;Salamanca;SA;70-79;246;254;16.41422566;14.47870946;500
2020-04-03;Soria;SO;70-79;61;43;15.15151515;10.59635288;104
2020-04-03;León;LE;>80;324;375;18.7359047;12.67705622;699
2020-04-03;Palencia;PA;>80;77;114;15.42776999;12.58694932;191
2020-04-03;Segovia;SE;>80;242;283;50.42717233;35.36173935;525
2020-04-04;Ávila;AV;0-9;71;57;12.20980224;10.67615658;128
2020-04-04;León;LE;0-9;153;144;10.6029106;10.73025335;297
2020-04-04;Palencia;PA;0-9;22;15;3.925767309;2.871912694;37
2020-04-04;Castilla y León;CyL;0-9;887;824;10.24202115;10.11936926;1711
2020-04-04;Palencia;PA;10-19;36;22;5.730659026;3.716844061;58
2020-04-04;Palencia;PA;20-29;77;79;11.21631464;12.08505431;156
2020-04-04;Segovia;SE;20-29;83;123;10.76105277;17.09045436;206
2020-04-04;Zamora;ZA;20-29;26;36;3.913305238;5.890052356;62
2020-04-04;Burgos;BU;30-39;345;441;16.54755624;22.053308;786
2020-04-04;Palencia;PA;30-39;127;140;13.74905272;16.2412993;267
2020-04-04;Segovia;SE;30-39;164;203;18.44354476;23.08654612;367
2020-04-04;Ávila;AV;40-49;212;297;19.40148257;27.73109244;509
2020-04-04;León;LE;40-49;397;631;12.41245623;19.28130538;1028
2020-04-04;Salamanca;SA;40-49;413;637;18.12993854;27.05342733;1050
2020-04-04;Valladolid;VA;40-49;510;746;11.36338317;17.02846447;1256
2020-04-04;Zamora;ZA;40-49;74;112;6.718721627;10.3254356;186
2020-04-04;Burgos;BU;50-59;413;574;14.7933233;21.48927408;987
2020-04-04;León;LE;50-59;421;581;12.04922725;16.30236539;1002
2020-04-04;Soria;SO;50-59;142;216;19.45471982;33.7341871;358
2020-04-04;Ávila;AV;60-69;197;216;19.52234665;23.90702822;413
2020-04-04;Soria;SO;60-69;108;131;19.87486198;26.68567936;239
2020-04-04;Zamora;ZA;60-69;68;75;5.865608557;6.996268657;143
2020-04-04;Castilla y León;CyL;60-69;2226;2487;14.60994211;16.64068302;4713
2020-04-04;Salamanca;SA;70-79;250;256;16.68112364;14.59271504;506
2020-04-04;Segovia;SE;70-79;202;155;35.60726247;24.74062251;357
2020-04-04;Valladolid;VA;70-79;285;267;11.89333556;9.735287683;552
2020-04-04;Zamora;ZA;70-79;43;41;4.879155793;4.145601618;84
2020-04-04;Palencia;PA;>80;78;115;15.62813064;12.69736116;193
2020-04-05;Ávila;AV;0-9;71;56;12.20980224;10.48885559;127
2020-04-05;Burgos;BU;0-9;124;104;8.699312474;7.732342007;228
2020-04-05;Valladolid;VA;0-9;163;154;7.718899465;7.684247293;317
2020-04-05;Soria;SO;10-19;17;18;4.291845494;4.858299595;35
2020-04-05;Valladolid;VA;10-19;90;92;3.648747263;3.939705379;182
2020-04-05;Zamora;ZA;10-19;22;27;3.798342541;4.811119031;49
2020-04-05;Castilla y León;CyL;10-19;504;481;4.925963935;4.944591788;985
2020-04-05;León;LE;20-29;147;221;10.3021978;12.81753857;368
2020-04-05;Burgos;BU;30-39;350;447;16.13485852;22.353353;797
2020-04-05;Salamanca;SA;30-39;324;513;14.0738335;27.57767982;837
2020-04-05;Castilla y León;CyL;30-39;1854;2667;5.602240896;20.08373872;4521
2020-04-05;León;LE;40-49;398;633;12.44372186;19.34241887;1031
2020-04-05;Salamanca;SA;40-49;418;644;18.34942932;27.35071774;1062
2020-04-05;Segovia;SE;40-49;289;373;25.4021271;32.3812831;662
2020-04-05;Zamora;ZA;40-49;74;112;6.718721627;10.3254356;186
2020-04-05;Castilla y León;CyL;40-49;2674;3833;14.89038251;21.60154643;6507
2020-04-05;Palencia;PA;50-59;166;221;13.06880806;18.16090065;387
2020-04-05;Soria;SO;50-59;143;221;19.59172489;34.51507106;364
