FECHA;PROVINCIA;AMBITO;CATEGORIA;TEST_REALIZADOS;TEST_POSITIVO;AISLAMIENTO;ALTA;codigo_ine
2020-04-18;Burgos;Todos;Técnicos sanitarios;24;4;1;3;9059
2020-04-18;León;Todos;Auxiliares sanitarios;245;49;30;19;24089
2020-04-18;León;Todos;Enfermero/a;695;132;77;55;24089
2020-04-18;León;Todos;Fisioterapeuta;16;2;0;2;24089
2020-04-18;León;Todos;Médicos;529;88;42;46;24089
2020-04-18;León;Todos;Otros sanitarios;23;3;2;1;24089
2020-04-18;León;Todos;Personal en formación;79;15;8;7;24089
2020-04-18;Segovia;Todos;Técnicos sanitarios;28;13;6;7;40004
2020-04-18;Soria;Todos;Administrativo;23;12;6;6;42173
2020-04-18;Valladolid;Todos;Auxiliares sanitarios;215;48;37;11;47186
2020-04-18;Zamora;Todos;Técnicos sanitarios;4;0;0;0;49275
2020-04-19;Ávila;Todos;Auxiliares sanitarios;94;37;33;4;5019
2020-04-19;Burgos;Todos;Fisioterapeuta;18;1;0;1;9059
2020-04-19;Burgos;Todos;Personal en formación;29;4;0;4;9059
2020-04-19;León;Todos;Enfermero/a;696;132;77;55;24089
2020-04-19;León;Todos;Médicos;529;88;42;46;24089
2020-04-19;Palencia;Todos;Administrativo;52;4;4;0;34120
2020-04-19;Palencia;Todos;Auxiliares sanitarios;55;14;13;1;34120
2020-04-19;Palencia;Todos;Médicos;134;22;11;11;34120
2020-04-19;Salamanca;Todos;Enfermero/a;400;117;66;51;37274
2020-04-19;Segovia;Todos;Celador;39;18;10;8;40004
2020-04-19;Segovia;Todos;Servicios de apoyo no sanitario;16;9;5;4;40004
2020-04-19;Soria;Todos;Administrativo;23;12;6;6;42173
2020-04-19;Soria;Todos;Médicos;108;54;24;30;42173
2020-04-19;Valladolid;Todos;Auxiliares sanitarios;217;48;37;11;47186
2020-04-19;Valladolid;Todos;Otros sanitarios;18;4;1;3;47186
2020-04-19;Valladolid;Todos;Servicios de apoyo no sanitario;38;8;4;4;47186
2020-04-20;Ávila;Todos;Otros;1;1;0;1;5019
2020-04-20;Burgos;Todos;Enfermero/a;471;73;33;40;9059
2020-04-20;Burgos;Todos;Personal en formación;32;4;0;4;9059
2020-04-20;León;Todos;Otros sanitarios;23;3;1;2;24089
2020-04-20;León;Todos;Técnicos sanitarios;39;6;2;4;24089
2020-04-20;Palencia;Todos;Fisioterapeuta;5;1;1;0;34120
2020-04-20;Palencia;Todos;Médicos;136;22;11;11;34120
2020-04-20;Palencia;Todos;Otros sanitarios;7;1;0;1;34120
2020-04-20;Salamanca;Todos;Celador;63;24;17;7;37274
2020-04-20;Salamanca;Todos;Médicos;351;122;51;71;37274
2020-04-20;Salamanca;Todos;Técnicos sanitarios;40;17;11;6;37274
2020-04-20;Segovia;Todos;Administrativo;39;16;5;11;40004
2020-04-20;Segovia;Todos;Celador;40;18;8;10;40004
2020-04-20;Segovia;Todos;Personal en formación;25;11;5;6;40004
2020-04-20;Soria;Todos;Administrativo;24;12;6;6;42173
2020-04-20;Soria;Todos;Auxiliares sanitarios;61;23;9;14;42173
2020-04-20;Soria;Todos;Celador;18;10;3;7;42173
2020-04-20;Soria;Todos;Personal en formación;10;2;1;1;42173
2020-04-20;Soria;Todos;Técnicos sanitarios;13;8;4;4;42173
2020-04-20;Valladolid;Todos;Médicos;746;109;43;66;47186
2020-04-20;Valladolid;Todos;Otros sanitarios;20;4;1;3;47186
2020-04-20;Valladolid;Todos;Técnicos sanitarios;59;10;5;5;47186
2020-04-20;Zamora;Todos;Celador;15;2;2;0;49275
2020-04-20;Zamora;Todos;Enfermero/a;92;22;17;5;49275
2020-04-20;Zamora;Todos;Médicos;95;20;6;14;49275
2020-04-21;Ávila;Todos;Administrativo;25;16;12;4;5019
2020-04-21;Ávila;Todos;Enfermero/a;214;81;64;17;5019
2020-04-21;Ávila;Todos;Personal en formación;10;4;2;2;5019
2020-04-21;Burgos;Todos;Celador;57;11;2;9;9059
2020-04-21;Burgos;Todos;Enfermero/a;485;73;33;40;9059
2020-04-21;Burgos;Todos;Médicos;402;58;21;37;9059
2020-04-21;Burgos;Todos;Otros;7;1;0;1;9059
2020-04-21;León;Todos;Administrativo;122;14;6;8;24089
2020-04-21;León;Todos;Auxiliares sanitarios;282;51;28;23;24089
2020-04-21;León;Todos;Enfermero/a;763;140;84;56;24089
2020-04-21;Palencia;Todos;Auxiliares sanitarios;60;15;14;1;34120
2020-04-21;Salamanca;Todos;Auxiliares sanitarios;206;75;43;32;37274
2020-04-21;Salamanca;Todos;Médicos;356;122;48;74;37274
2020-04-21;Salamanca;Todos;Otros;4;2;2;0;37274
2020-04-21;Segovia;Todos;Celador;43;19;9;10;40004
2020-04-21;Segovia;Todos;Otros sanitarios;2;1;1;0;40004
2020-04-21;Segovia;Todos;Servicios de apoyo no sanitario;19;9;4;5;40004
2020-04-21;Segovia;Todos;Técnicos sanitarios;30;13;6;7;40004
2020-04-21;Soria;Todos;Celador;18;10;3;7;42173
2020-04-21;Soria;Todos;Enfermero/a;135;67;30;37;42173
2020-04-21;Soria;Todos;Fisioterapeuta;5;1;0;1;42173
2020-04-21;Soria;Todos;Otros;0;0;0;0;42173
2020-04-21;Soria;Todos;Servicios de apoyo no sanitario;3;2;1;1;42173
2020-04-21;Valladolid;Todos;Celador;97;18;13;5;47186
2020-04-21;Valladolid;Todos;Médicos;787;112;40;72;47186
2020-04-21;Valladolid;Todos;Otros sanitarios;20;4;1;3;47186
2020-04-21;Valladolid;Todos;Servicios de apoyo no sanitario;40;8;4;4;47186
2020-04-21;Valladolid;Todos;Técnicos sanitarios;66;10;5;5;47186
2020-04-21;Zamora;Todos;Administrativo;14;6;4;2;49275
2020-04-21;Zamora;Todos;Auxiliares sanitarios;34;5;4;1;49275
2020-04-21;Zamora;Todos;Fisioterapeuta;1;1;1;0;49275
2020-04-21;Zamora;Todos;Otros;0;0;0;0;49275
2020-04-21;Zamora;Todos;Otros sanitarios;2;1;0;1;49275
2020-04-21;Zamora;Todos;Técnicos sanitarios;4;0;0;0;49275
2020-04-22;Ávila;Todos;Administrativo;25;16;12;4;5019
2020-04-22;Ávila;Todos;Auxiliares sanitarios;104;39;33;6;5019
2020-04-22;Ávila;Todos;Celador;31;8;7;1;5019
2020-04-22;Ávila;Todos;Fisioterapeuta;6;0;0;0;5019
2020-04-22;Ávila;Todos;Otros sanitarios;10;5;5;0;5019
2020-04-22;Ávila;Todos;Servicios de apoyo no sanitario;22;9;7;2;5019
2020-04-22;Ávila;Todos;Técnicos sanitarios;19;7;6;1;5019
2020-04-22;Burgos;Todos;Administrativo;107;9;4;5;9059
2020-04-22;Burgos;Todos;Auxiliares sanitarios;188;39;18;21;9059
2020-04-22;Burgos;Todos;Otros;7;1;0;1;9059
2020-04-22;León;Todos;Administrativo;127;14;5;9;24089
2020-04-22;León;Todos;Celador;104;16;9;7;24089
2020-04-22;León;Todos;Otros sanitarios;24;3;1;2;24089
2020-04-22;León;Todos;Personal en formación;101;16;6;10;24089
2020-04-22;León;Todos;Técnicos sanitarios;49;7;3;4;24089
2020-04-22;Palencia;Todos;Administrativo;59;5;5;0;34120
2020-04-22;Palencia;Todos;Auxiliares sanitarios;60;15;12;3;34120
2020-04-22;Palencia;Todos;Celador;32;12;9;3;34120
2020-04-22;Palencia;Todos;Personal en formación;18;6;2;4;34120
2020-04-22;Salamanca;Todos;Celador;65;25;14;11;37274
2020-04-22;Salamanca;Todos;Médicos;360;123;47;76;37274
2020-04-22;Segovia;Todos;Auxiliares sanitarios;125;48;21;27;40004
2020-04-22;Segovia;Todos;Enfermero/a;279;125;33;92;40004
2020-04-22;Soria;Todos;Administrativo;32;15;8;7;42173
2020-04-22;Soria;Todos;Auxiliares sanitarios;76;23;10;13;42173
2020-04-22;Soria;Todos;Otros;0;0;0;0;42173
2020-04-22;Valladolid;Todos;Administrativo;227;27;12;15;47186
2020-04-22;Valladolid;Todos;Médicos;803;115;39;76;47186
2020-04-22;Zamora;Todos;Administrativo;20;6;4;2;49275
2020-04-22;Zamora;Todos;Enfermero/a;118;22;14;8;49275
2020-04-22;Zamora;Todos;Médicos;119;19;5;14;49275
2020-04-22;Zamora;Todos;Otros;0;0;0;0;49275
2020-04-23;Ávila;Todos;Auxiliares sanitarios;114;39;31;8;5019
2020-04-23;Ávila;Todos;Otros sanitarios;10;5;5;0;5019
2020-04-23;Ávila;Todos;Servicios de apoyo no sanitario;22;9;7;2;5019
2020-04-23;Ávila;Todos;Técnicos sanitarios;19;7;6;1;5019
2020-04-23;Burgos;Todos;Administrativo;107;9;4;5;9059
2020-04-23;Burgos;Todos;Celador;61;11;2;9;9059
2020-04-23;Burgos;Todos;Servicios de apoyo no sanitario;13;3;2;1;9059
2020-04-23;León;Todos;Celador;104;16;8;8;24089
2020-04-23;León;Todos;Servicios de apoyo no sanitario;17;3;1;2;24089
2020-04-23;Palencia;Todos;Enfermero/a;178;42;32;10;34120
2020-04-23;Palencia;Todos;Servicios de apoyo no sanitario;14;3;3;0;34120
2020-04-23;Palencia;Todos;Técnicos sanitarios;8;3;3;0;34120
2020-04-23;Salamanca;Todos;Administrativo;55;20;9;11;37274
2020-04-23;Salamanca;Todos;Médicos;361;124;47;77;37274
2020-04-23;Salamanca;Todos;Otros sanitarios;8;4;3;1;37274
2020-04-23;Salamanca;Todos;Personal en formación;82;27;13;14;37274
2020-04-23;Segovia;Todos;Auxiliares sanitarios;126;49;22;27;40004
2020-04-23;Segovia;Todos;Celador;50;21;10;11;40004
2020-04-23;Segovia;Todos;Fisioterapeuta;4;1;0;1;40004
2020-04-23;Segovia;Todos;Otros;0;0;0;0;40004
2020-04-23;Segovia;Todos;Personal en formación;26;11;4;7;40004
2020-04-23;Segovia;Todos;Servicios de apoyo no sanitario;19;9;3;6;40004
2020-04-23;Segovia;Todos;Técnicos sanitarios;31;13;6;7;40004
2020-04-23;Soria;Todos;Celador;28;10;3;7;42173
2020-04-23;Soria;Todos;Otros;0;0;0;0;42173
2020-04-23;Soria;Todos;Servicios de apoyo no sanitario;6;2;1;1;42173
2020-04-23;Soria;Todos;Técnicos sanitarios;15;8;4;4;42173
2020-04-23;Valladolid;Todos;Auxiliares sanitarios;266;51;35;16;47186
2020-04-23;Valladolid;Todos;Celador;103;19;14;5;47186
2020-04-23;Valladolid;Todos;Enfermero/a;857;145;86;59;47186
2020-04-23;Valladolid;Todos;Médicos;811;115;39;76;47186
2020-04-23;Valladolid;Todos;Otros;4;0;0;0;47186
2020-04-23;Valladolid;Todos;Otros sanitarios;20;4;1;3;47186
2020-04-23;Zamora;Todos;Auxiliares sanitarios;53;6;5;1;49275
2020-04-23;Zamora;Todos;Celador;25;2;1;1;49275
2020-04-23;Zamora;Todos;Personal en formación;7;0;0;0;49275
2020-04-23;Zamora;Todos;Servicios de apoyo no sanitario;1;0;0;0;49275
2020-04-24;Ávila;Todos;Enfermero/a;279;82;65;17;5019
2020-04-24;Ávila;Todos;Servicios de apoyo no sanitario;22;9;8;1;5019
2020-04-24;Ávila;Todos;Técnicos sanitarios;19;7;6;1;5019
2020-04-24;Burgos;Todos;Celador;72;12;3;9;9059
2020-04-24;Burgos;Todos;Médicos;436;59;22;37;9059
2020-04-24;Burgos;Todos;Servicios de apoyo no sanitario;16;3;2;1;9059
2020-04-24;León;Todos;Administrativo;131;14;5;9;24089
2020-04-24;León;Todos;Auxiliares sanitarios;319;55;25;30;24089
2020-04-24;León;Todos;Fisioterapeuta;16;2;0;2;24089
2020-04-24;León;Todos;Personal en formación;109;16;5;11;24089
2020-04-24;León;Todos;Técnicos sanitarios;48;7;2;5;24089
2020-04-24;Palencia;Todos;Administrativo;59;5;5;0;34120
2020-04-24;Palencia;Todos;Fisioterapeuta;6;1;1;0;34120
2020-04-24;Palencia;Todos;Médicos;158;26;11;15;34120
2020-04-24;Salamanca;Todos;Administrativo;57;21;10;11;37274
2020-04-24;Salamanca;Todos;Auxiliares sanitarios;221;79;39;40;37274
2020-04-24;Salamanca;Todos;Celador;67;25;13;12;37274
