FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;FASE DESESCALADA;x_geo;y_geo;zbs_geo;PROVINCIA;Posición;MUNICIPIO
2020-05-13;1701;Gerencia de Ávila;170101;C.S. ARENAS SAN PEDRO;Fase 0;-5.1146939;40.1963342;ARENAS SAN PEDRO;Ávila;40.1963342,-5.1146939;ARENAS DE SAN PEDRO/HORNILLO (EL)/ARENAL (EL)/GUISANDO
2020-05-13;1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;Fase 0;-4.6711786;40.6384702;AVILA RURAL;Ávila;40.6384702,-4.6711786;AVILA/BERLANAS (LAS)/CASASOLA/GALLEGOS DE ALTAMIROS/MARLIN/MIRONCILLO/MONSALUPE/OSO (EL)/PAJARES DE ADAJA/SAN BARTOLOME DE PINARES/SAN JUAN DE LA NAVA/SERRADA (LA)/TOLBAÑOS/BARRACO (EL)/COLILLA (LA)/GEMUÑO/GOTARRENDURA/HERRADON DE PINARES/MEDIANA DE VOLTOYA/MINGORRIA/MUÑOPEPE/NIHARRA/OJOS-ALBOS/SALOBRAL/SAN ESTEBAN DE LOS PATOS/SANTA CRUZ DE PINARES/TORNADIZOS DE AVILA/VEGA DE SANTA MARIA/BERROCALEJO DE ARAGONA/BLASCOSANCHO/CARDEÑOSA/FRESNO (EL)/HERNANSANCHO/MARTIHERRERO/PADIERNOS/PEÑALBA DE AVILA/POZANCO/RIOFRIO/SAN PASCUAL/SANCHORREJA/SANTA MARIA DEL CUBILLO/SANTO DOMINGO DE LAS POSADAS/SOTALBO/VELAYOS
2020-05-13;1701;Gerencia de Ávila;170106;C.S. LANZAHITA;Fase 0;-4.8974015;40.2409102;LANZAHITA;Ávila;40.2409102,-4.8974015;GAVILANES/LANZAHITA/MOMBELTRAN/MIJARES/PEDRO BERNARDO
2020-05-13;1701;Gerencia de Ávila;170111;C.S. CEBREROS;Fase 0;-4.4395554;40.4517812;CEBREROS;Ávila;40.4517812,-4.4395554;CEBREROS/TIEMBLO (EL)/HOYO DE PINARES (EL)
2020-05-13;1701;Gerencia de Ávila;170113;C.S. NAVARREDONDA GREDOS;Fase 0;-5.1468286;40.3763715;NAVARREDONDA GREDOS;Ávila;40.3763715,-5.1468286;CEPEDA LA MORA/SAN MARTIN DEL PIMPOLLAR/HOYOS DE MIGUEL MUÑOZ/HOYOS DEL ESPINO/NAVADIJOS/NAVARREDONDA DE GREDOS/SAN JUAN DE GREDOS/SAN MARTIN DE LA VEGA DEL ALBERCHE/GARGANTA DEL VILLAR/HOYOS DEL COLLADO
2020-05-13;1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;Fase 0;-5.308102;40.5423616;PIEDRAHITA;Ávila;40.5423616,-5.308102;BECEDILLAS/BONILLA DE LA SIERRA/COLLADO DEL MIRON/DIEGO DEL CARPIO/MALPARTIDA DE CORNEJA/MIRON (EL)/PIEDRAHITA/SAN MIGUEL DE SERREZUELA/TORTOLES/VILLAFRANCA DE LA SIERRA/VILLAR DE CORNEJA/HOYORREDONDO/NAVACEPEDILLA DE CORNEJA/PASCUALCOBO/SAN BARTOLOME DE CORNEJA/SANTA MARIA DEL BERROCAL/SANTIAGO DEL COLLADO/AREVALILLO/CASAS DEL PUERTO/MARTINEZ/MESEGAR DE CORNEJA/NARRILLOS DEL ALAMO/NAVAESCURIAL/SAN MIGUEL DE CORNEJA/ZAPARDIEL DE LA CAÑADA
2020-05-13;1702;Gerencia de Burgos;170206;C.S. CRISTOBAL ACOSTA;Fase 0;-3.6992069;42.3440772;CRISTOBAL ACOSTA;Burgos;42.3440772,-3.6992069;BURGOS
2020-05-13;1702;Gerencia de Burgos;170210;C.S. CONDADO DE TREVIÑO;Fase 0;-2.7067503;42.7338412;CONDADO DE TREVIÑO;Burgos;42.7338412,-2.7067503;PUEBLA DE ARGANZON (LA)/CONDADO DE TREVIÑO
2020-05-13;1702;Gerencia de Burgos;170212;C.S. GAMONAL ANTIGUA;Fase 0;-3.6191225;42.3758528;GAMONAL ANTIGUA;Burgos;42.3758528,-3.6191225;BURGOS
2020-05-13;1702;Gerencia de Burgos;170213;C.S. GAMONAL LAS TORRES;Fase 0;-3.6719481;42.3557004;GAMONAL LAS TORRES;Burgos;42.3557004,-3.6719481;BURGOS
