FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-04-09;1706;Gerencia de Salamanca;170603;C.S. BEJAR;253;1.573676681;-5.8578389;40.3892584;BEJAR;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170604;C.S. CALZADA VALDUNCIEL;34;1.593999062;-5.7649621;41.1556443;CALZADA VALDUNCIEL;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170606;C.S. CIUDAD RODRIGO;291;1.98526402;-6.4762406;40.6126798;CIUDAD RODRIGO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170609;C.S. FUENTEGUINALDO;5;0.308451573;-6.734419;40.4082446;FUENTEGUINALDO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170610;C.S. FUENTES DE OÑORO;2;0.098765432;-6.749247;40.6544786;FUENTES DE OÑORO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170611;C.S. GARRIDO NORTE;484;2.572962628;-5.6512485;40.9831349;GARRIDO NORTE;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170613;C.S. GUIJUELO;88;0.916953215;-5.6473268;40.5420836;GUIJUELO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170615;C.S. LA ALBERCA;14;0.774336283;-6.1369235;40.5281138;LA ALBERCA;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170617;C.S. LINARES DE RIOFRIO;47;2.220122815;-5.8782411;40.6057622;LINARES DE RIOFRIO;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170618;C.S. LUMBRALES;7;0.21250759;-6.6910851;40.9107995;LUMBRALES;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170619;C.S. MATILLA CAÑOS;9;0.493691717;-5.9732262;40.8405196;MATILLA CAÑOS;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170624;C.S. PEÑARANDA;107;1.063301202;-5.2549602;40.8839787;PEÑARANDA;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170625;C.S. PIZARRALES-VIDAL;330;2.203967141;-5.6796761;40.9778179;PIZARRALES-VIDAL;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170629;C.S. F.VILLALOBOS;168;2.019473494;-5.660618;40.9597778;F.VILLALOBOS;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170631;C.S. ELENA GINEL DIEZ;290;2.770877126;-5.707699;40.9515169;ELENA GINEL DIEZ;Salamanca
2020-04-09;1706;Gerencia de Salamanca;170637;C.S. CAPUCHINOS;239;2.431580018;-5.67021;40.9834149;CAPUCHINOS;Salamanca
2020-04-09;1707;Gerencia de Segovia;170706;C.S. NAVA DE LA ASUNCION;184;2.147525677;-4.4695964;41.1179671;NAVA DE LA ASUNCION;Segovia
2020-04-09;1707;Gerencia de Segovia;170707;C.S. RIAZA;31;0.711172287;-3.4554609;41.3634767;RIAZA;Segovia
2020-04-09;1707;Gerencia de Segovia;170708;C.S. SEGOVIA I;749;3.375546442;-4.114543;40.9380492;SEGOVIA I;Segovia
2020-04-09;1707;Gerencia de Segovia;170713;C.S. VILLACASTIN;116;3.520485584;-4.4085747;40.7829124;VILLACASTIN;Segovia
2020-04-09;1707;Gerencia de Segovia;170716;C.S. SACRAMENIA;25;3.045066991;-3.9279862;41.4623748;SACRAMENIA;Segovia
2020-04-09;1708;Gerencia de Soria;170801;C.S. AGREDA;5;0.14645577;-1.9990845;41.8696333;AGREDA;Soria
2020-04-09;1708;Gerencia de Soria;170808;C.S. OLVEGA;25;0.594388968;-1.9769546;41.7233482;OLVEGA;Soria
2020-04-09;1708;Gerencia de Soria;170811;C.S. SORIA RURAL;177;2.421671911;-2.5494153;41.7928658;SORIA RURAL;Soria
2020-04-09;1709;Gerencia de Valladolid Oeste;170902;C.S. ARTURO EYRIES;303;1.59826986;-4.7469394;41.6284171;ARTURO EYRIES;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170903;C.S. CASA DEL BARCO;175;1.162018592;-4.733827;41.6440203;CASA DEL BARCO;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170906;C.S. PLAZA DEL EJERCITO;221;1.174719609;-4.7383372;41.6365797;PLAZA DEL EJERCITO;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170907;C.S. HUERTA DEL REY;419;1.647919453;-4.7490241;41.6519156;HUERTA DEL REY;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170909;C.S. LAGUNA DE DUERO;227;0.794706624;-4.7293581;41.5472386;LAGUNA DE DUERO;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170914;C.S. MOTA DEL MARQUES;14;0.745077169;-5.2237315;41.6665615;MOTA DEL MARQUES;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170916;C.S. PISUERGA;276;1.202195313;-4.8403081;41.5926952;PISUERGA;Valladolid
2020-04-09;1709;Gerencia de Valladolid Oeste;170927;C.S. DELICIAS I;313;1.191337114;-4.7079834;41.6161785;DELICIAS I;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171001;C.S. BARRIO ESPAÑA;90;1.514641535;-4.7052252;41.675017;BARRIO ESPAÑA;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171003;C.S. CIRCUNVALACION;227;1.521957761;-4.6758644;41.6546802;CIRCUNVALACION;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171011;C.S. RONDILLA I;246;2.590564448;-4.7254269;41.660879;RONDILLA I;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171013;C.S. CANTERAC;184;1.645060349;-4.7165076;41.6425339;CANTERAC;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171014;C.S. SAN PABLO;167;1.494674662;-4.7265359;41.6561919;SAN PABLO;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171017;C.S. SERRADA;32;0.601729974;-4.8411889;41.4508581;SERRADA;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171021;C.S. MEDINA CAMPO RURAL;25;0.296735905;-4.9683549;41.2708021;MEDINA CAMPO RURAL;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171022;C.S. MEDINA CAMPO URBANO;280;1.33358735;-4.9149855;41.3123252;MEDINA CAMPO URBANO;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171024;C.S. GAMAZO;334;1.83093959;-4.7262911;41.6498853;GAMAZO;Valladolid
2020-04-09;1710;Gerencia de Valladolid Este;171026;C.S. CIGALES;120;1.598295152;-4.660676;41.7859567;CIGALES;Valladolid
2020-04-09;1711;Gerencia de Zamora;171112;C.S. SANTA ELENA;135;1.067446825;-5.7494898;41.4989997;SANTA ELENA;Zamora
2020-04-09;1711;Gerencia de Zamora;171113;C.S. LA GUAREÑA;61;1.158154547;-5.4630882;41.2789404;LA GUAREÑA;Zamora
2020-04-09;1711;Gerencia de Zamora;171114;C.S. PUEBLA DE SANABRIA;32;0.805234021;-6.6501789;42.0813187;PUEBLA DE SANABRIA;Zamora
