Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-03-13;León;0;0;92;30;24089;92;30;;32.608695652173914;32.608695652173914;LE
2020-03-13;Segovia;0;0;1;1;40004;1;1;;100.0;100.0;SE
2020-03-13;Valladolid;0;0;201;31;47186;201;31;;15.422885572139302;15.422885572139302;VA
2020-03-13;Castilla y León;0;0;658;164;99999;658;164;;24.924012158054712;24.924012158054712;CyL
2020-03-14;Zamora;0;0;18;0;49275;18;0;;0.0;0.0;ZA
2020-03-14;Castilla y León;0;0;900;234;99999;900;234;;26.0;26.0;CyL
2020-03-15;Valladolid;0;0;400;80;47186;400;80;;20.0;20.0;VA
2020-03-15;Zamora;0;0;20;0;49275;20;0;;0.0;0.0;ZA
2020-03-17;Ávila;0;0;128;53;5019;128;53;;41.40625;41.40625;AV
2020-03-18;Castilla y León;0;0;2868;965;99999;2868;965;;33.64714086471409;33.64714086471409;CyL
2020-03-19;Zamora;0;0;158;36;49275;158;36;;22.78481012658228;22.78481012658228;ZA
2020-03-19;Castilla y León;0;0;3514;1236;99999;3514;1236;;35.173591348890156;35.173591348890156;CyL
2020-03-21;Ávila;0;0;284;150;5019;284;150;;52.816901408450704;52.816901408450704;AV
2020-03-23;Soria;0;0;250;174;42173;250;174;;69.6;69.6;SO
2020-03-23;Castilla y León;0;0;6635;2696;99999;6635;2696;;40.633006782215524;40.633006782215524;CyL
2020-03-24;Burgos;0;0;1176;471;9059;1176;471;;40.05102040816326;40.05102040816326;BU
2020-03-24;Castilla y León;0;0;7762;3285;99999;7762;3285;;42.3215666065447;42.3215666065447;CyL
2020-03-25;Ávila;0;0;592;318;5019;592;318;;53.71621621621622;53.71621621621622;AV
2020-03-28;Burgos;0;0;1723;710;9059;1723;710;;41.2071967498549;41.2071967498549;BU
2020-03-29;Valladolid;0;0;3708;1361;47186;3708;1361;;36.704422869471415;36.704422869471415;VA
2020-03-29;Castilla y León;0;0;14866;6694;99999;14866;6694;;45.02892506390421;45.02892506390421;CyL
2020-03-30;Burgos;0;0;1960;782;9059;1960;782;;39.89795918367347;39.89795918367347;BU
2020-03-30;Castilla y León;0;0;16019;7131;99999;16019;7131;;44.515887383731815;44.515887383731815;CyL
2020-03-31;Salamanca;0;0;3361;1440;37274;3361;1440;;42.844391550133885;42.844391550133885;SA
2020-04-03;Ávila;68;9;1729;932;5019;1797;941;13.23529411764706;53.90399074609601;52.3650528658876;AV
2020-04-03;Soria;0;0;1229;748;42173;1229;748;;60.86248982912937;60.86248982912937;SO
2020-04-03;Castilla y León;74;10;23517;9617;99999;23591;9627;13.513513513513514;40.893821490836416;40.80793522953669;CyL
2020-04-05;Valladolid;0;0;6713;2345;47186;6713;2345;;34.932221063607926;34.932221063607926;VA
2020-04-07;Soria;18;5;1428;818;42173;1446;823;27.77777777777778;57.2829131652661;56.91562932226832;SO
2020-04-07;Valladolid;11;1;8001;2644;47186;8012;2645;9.090909090909092;33.04586926634171;33.012980529206196;VA
2020-04-07;Castilla y León;471;53;30214;11520;99999;30685;11573;11.252653927813164;38.12802012312173;37.71549617076747;CyL
2020-04-09;León;482;33;4801;1593;24089;5283;1626;6.846473029045644;33.180587377629664;30.777967064168088;LE
2020-04-09;Soria;183;30;1675;871;42173;1858;901;16.39344262295082;52.0;48.4930032292788;SO
2020-04-10;Ávila;999;134;2629;1237;5019;3628;1371;13.413413413413414;47.052111068847466;37.78941565600882;AV
2020-04-10;Burgos;644;129;3854;1165;9059;4498;1294;20.031055900621116;30.2283341982356;28.768341485104493;BU
2020-04-10;Salamanca;216;25;6294;2318;37274;6510;2343;11.574074074074074;36.82872577057515;35.99078341013825;SA
2020-04-10;Soria;441;75;1731;887;42173;2172;962;17.006802721088434;51.2420566146736;44.29097605893186;SO
2020-04-11;Ávila;1140;136;2661;1244;5019;3801;1380;11.929824561403509;46.74934235249906;36.30623520126283;AV
2020-04-12;León;2506;222;5551;1689;24089;8057;1911;8.85873902633679;30.426950099081246;23.71850564726325;LE
2020-04-12;Castilla y León;7112;830;40705;13906;99999;47817;14736;11.670416197975253;34.162879253163005;30.817491687056904;CyL
2020-04-13;León;3486;284;6018;1807;24089;9504;2091;8.14687320711417;30.02658690594882;22.001262626262626;LE
2020-04-13;Salamanca;409;47;6830;2417;37274;7239;2464;11.491442542787286;35.387994143484626;34.037850531841414;SA
2020-04-14;Burgos;2378;357;4546;1289;9059;6924;1646;15.012615643397814;28.3545974483062;23.772385904101675;BU
2020-04-14;León;4643;326;6518;1858;24089;11161;2184;7.0213224208485885;28.5056765879104;19.568139055640177;LE
