fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-04-09;León;7366;314;82;140;204;333;433;24089
2020-04-09;Palencia;4244;93;15;29;41;152;605;34120
2020-04-10;Ávila;3905;151;41;72;162;204;348;5019
2020-04-10;León;7352;321;89;154;306;293;433;24089
2020-04-10;Salamanca;6633;275;112;135;341;509;1195;37274
2020-04-10;Soria;2288;135;61;69;180;227;741;42173
2020-04-14;Segovia;2485;330;141;196;321;263;661;40004
2020-04-15;Palencia;4234;114;29;32;190;95;620;34120
2020-04-15;Valladolid;7173;360;141;133;1005;140;573;47186
2020-04-16;Palencia;4224;116;32;32;231;81;581;34120
2020-04-18;Soria;2242;201;79;85;309;122;821;42173
2020-04-20;Ávila;3543;256;85;77;383;108;394;5019
2020-04-20;León;7200;504;132;180;633;158;365;24089
2020-04-21;Burgos;6593;322;106;100;642;165;824;9059
2020-04-22;Salamanca;6438;540;177;200;663;283;1058;37274
2020-04-22;Zamora;4414;184;41;57;169;82;561;49275
2020-04-23;Burgos;6573;370;114;101;658;118;807;9059
2020-04-26;León;7056;585;163;180;743;89;598;24089
2020-04-29;Burgos;6489;405;137;101;768;63;793;9059
2020-04-30;Ávila;3474;307;105;81;482;85;315;5019
2020-04-30;León;7025;616;181;181;808;48;667;24089
2020-04-30;Segovia;2381;487;172;204;623;76;484;40004
2020-04-30;Valladolid;6941;603;252;119;1078;139;614;47186
2020-05-02;Salamanca;6327;624;225;205;778;169;840;37274
2020-05-02;Zamora;4365;215;51;62;165;64;497;49275
2020-05-03;Salamanca;6320;654;227;205;803;168;831;37274
2020-05-03;Segovia;2371;499;174;204;671;65;470;40004
2020-05-04;Ávila;3466;324;109;82;487;82;311;5019
2020-05-06;León;6972;689;200;185;856;35;580;24089
2020-05-07;Burgos;6448;482;160;103;825;51;500;9059
2020-05-08;Ávila;3383;328;111;83;489;61;283;5019
2020-05-08;Segovia;2370;505;175;205;763;29;347;40004
2020-05-09;Burgos;6451;490;164;104;813;51;508;9059
2020-05-14;Salamanca;6307;758;254;206;975;65;591;37274
2020-05-14;Segovia;2372;519;182;198;848;9;283;40004
2020-05-14;Soria;2165;301;108;91;686;10;263;42173
2020-05-14;Valladolid;6870;696;274;124;1059;108;482;47186
2020-05-15;Salamanca;6292;759;254;206;1015;64;567;37274
