fecha;provincia;numero_enfermos;tasa_enfermedad;incremento_enfermos;porcentaje_incremento;codigo_ine;posicion
2020-03-26;Burgos;3667;1049.880038;304;9.039548023;9059;42.383333,-3.666667
2020-04-05;Burgos;5549;1588.705845;65;1.185266229;9059;42.383333,-3.666667
2020-04-07;Burgos;5892;1686.908423;150;2.612330199;9059;42.383333,-3.666667
2020-04-08;Burgos;6050;1732.144595;158;2.681602172;9059;42.383333,-3.666667
2020-04-10;Burgos;6371;1824.048466;184;2.973977695;9059;42.383333,-3.666667
2020-04-23;Burgos;8063;2308.476343;37;0.461001744;9059;42.383333,-3.666667
2020-05-03;Burgos;8633;2471.670131;15;0.174054305;9059;42.383333,-3.666667
2020-05-05;Burgos;8788;2516.047389;72;0.826067003;9059;42.383333,-3.666667
2020-05-07;Burgos;8952;2563.001391;80;0.901713255;9059;42.383333,-3.666667
2020-05-12;Burgos;9234;2643.739371;75;0.818866689;9059;42.383333,-3.666667
2020-05-13;Burgos;9374;2683.822056;140;1.516136019;9059;42.383333,-3.666667
2020-05-15;Burgos;9618;2753.680449;117;1.231449321;9059;42.383333,-3.666667
2020-05-17;Burgos;9643;2760.838072;4;0.041498081;9059;42.383333,-3.666667
2020-05-26;Burgos;10285;2944.645812;76;0.744441179;9059;42.383333,-3.666667
2020-06-06;Burgos;10678;3057.163635;14;0.131282821;9059;42.383333,-3.666667
2020-06-14;Burgos;10829;3100.395673;5;0.046193644;9059;42.383333,-3.666667
2020-03-04;León;5;;2;66.66666667;24089;42.666667,-6.0
2020-03-08;León;7;;1;16.66666667;24089;42.666667,-6.0
2020-03-10;León;16;3.68690779;4;33.33333333;24089;42.666667,-6.0
2020-03-17;León;665;153.237105;310;87.32394366;24089;42.666667,-6.0
2020-03-20;León;1782;410.6293552;350;24.44134078;24089;42.666667,-6.0
2020-03-28;León;4337;999.3824429;104;2.456886369;24089;42.666667,-6.0
2020-03-30;León;4861;1120.128673;418;9.408057619;24089;42.666667,-6.0
2020-04-11;León;7137;1644.591306;55;0.776616775;24089;42.666667,-6.0
2020-04-22;León;8658;1995.077978;119;1.393605809;24089;42.666667,-6.0
2020-04-27;León;9108;2098.77226;106;1.177516108;24089;42.666667,-6.0
2020-05-02;León;9441;2175.506028;30;0.318775901;24089;42.666667,-6.0
2020-05-04;León;9574;2206.153449;110;1.162299239;24089;42.666667,-6.0
2020-05-10;León;9962;2295.560963;14;0.140731805;24089;42.666667,-6.0
2020-05-11;León;10058;2317.68241;96;0.963661915;24089;42.666667,-6.0
2020-05-15;León;10420;2401.098699;73;0.705518508;24089;42.666667,-6.0
2020-05-16;León;10436;2404.785606;16;0.153550864;24089;42.666667,-6.0
2020-05-24;León;10894;2510.323342;7;0.064296868;24089;42.666667,-6.0
2020-05-28;León;11170;2573.922501;79;0.712289244;24089;42.666667,-6.0
2020-06-01;León;11325;2609.63942;69;0.613006397;24089;42.666667,-6.0
2020-06-02;León;11400;2626.921801;75;0.662251656;24089;42.666667,-6.0
2020-06-04;León;11539;2658.951812;66;0.575263663;24089;42.666667,-6.0
2020-06-10;León;11864;2733.842127;82;0.695976914;24089;42.666667,-6.0
2020-03-03;Palencia;6;;0;0.0;34120;42.432128,-4.520647
2020-03-08;Palencia;9;;2;28.57142857;34120;42.432128,-4.520647
2020-03-15;Palencia;71;46.2908631;17;31.48148148;34120;42.432128,-4.520647
2020-03-21;Palencia;548;357.287225;72;15.12605042;34120;42.432128,-4.520647
2020-03-25;Palencia;1034;674.1514428;128;14.12803532;34120;42.432128,-4.520647
2020-03-29;Palencia;1432;933.6410698;56;4.069767442;34120;42.432128,-4.520647
2020-04-02;Palencia;1820;1186.610857;81;4.657849339;34120;42.432128,-4.520647
2020-04-10;Palencia;2410;1571.281409;91;3.924105218;34120;42.432128,-4.520647
2020-04-19;Palencia;2832;1846.418652;16;0.568181818;34120;42.432128,-4.520647
2020-04-22;Palencia;3002;1957.25593;50;1.693766938;34120;42.432128,-4.520647
2020-04-23;Palencia;3022;1970.29561;20;0.666222518;34120;42.432128,-4.520647
2020-04-28;Palencia;3191;2080.480903;43;1.365946633;34120;42.432128,-4.520647
2020-05-02;Palencia;3291;2145.679302;14;0.427220018;34120;42.432128,-4.520647
2020-05-04;Palencia;3346;2181.538421;44;1.332525742;34120;42.432128,-4.520647
2020-05-14;Palencia;3672;2394.085201;29;0.796047214;34120;42.432128,-4.520647
2020-05-18;Palencia;3748;2443.635984;37;0.997035839;34120;42.432128,-4.520647
2020-05-24;Palencia;3887;2534.261759;0;0.0;34120;42.432128,-4.520647
2020-05-26;Palencia;3936;2566.208974;29;0.742257487;34120;42.432128,-4.520647
2020-05-29;Palencia;4017;2619.019677;28;0.701930308;34120;42.432128,-4.520647
2020-05-30;Palencia;4022;2622.279597;5;0.124470998;34120;42.432128,-4.520647
2020-05-31;Palencia;4032;2628.799437;10;0.248632521;34120;42.432128,-4.520647
2020-06-01;Palencia;4058;2645.75102;26;0.64484127;34120;42.432128,-4.520647
2020-06-12;Palencia;4263;2779.407738;24;0.566171267;34120;42.432128,-4.520647
2020-03-10;Salamanca;46;14.28859863;7;17.94871795;37274;40.833333,-6.0
2020-03-12;Salamanca;85;26.40284529;20;30.76923077;37274;40.833333,-6.0
2020-04-03;Salamanca;6521;2025.564167;250;3.986605007;37274;40.833333,-6.0
2020-04-05;Salamanca;6693;2078.991101;91;1.378370191;37274;40.833333,-6.0
2020-04-06;Salamanca;7005;2175.905074;312;4.661586732;37274;40.833333,-6.0
2020-04-10;Salamanca;7613;2364.763073;124;1.655761784;37274;40.833333,-6.0
2020-04-21;Salamanca;8999;2795.284762;147;1.660641663;37274;40.833333,-6.0
2020-04-22;Salamanca;9128;2835.354963;129;1.43349261;37274;40.833333,-6.0
2020-04-24;Salamanca;9263;2877.288894;91;0.992150022;37274;40.833333,-6.0
2020-04-30;Salamanca;9749;3028.251044;81;0.837815474;37274;40.833333,-6.0
2020-05-04;Salamanca;10007;3108.391445;144;1.460002028;37274;40.833333,-6.0
2020-05-12;Salamanca;10964;3405.656421;194;1.801299907;37274;40.833333,-6.0
2020-05-17;Salamanca;11246;3493.251743;4;0.035580857;37274;40.833333,-6.0
2020-05-18;Salamanca;11323;3517.169615;77;0.684687889;37274;40.833333,-6.0
2020-05-19;Salamanca;11381;3535.185674;58;0.512231741;37274;40.833333,-6.0
2020-05-21;Salamanca;11497;3571.217792;60;0.524613098;37274;40.833333,-6.0
2020-05-24;Salamanca;11576;3595.756907;6;0.051858254;37274;40.833333,-6.0
2020-05-27;Salamanca;11708;3636.758973;48;0.411663808;37274;40.833333,-6.0
2020-05-31;Salamanca;11821;3671.859226;2;0.016921905;37274;40.833333,-6.0
2020-06-01;Salamanca;11885;3691.739016;64;0.541409356;37274;40.833333,-6.0
2020-06-03;Salamanca;11978;3720.626835;52;0.436022137;37274;40.833333,-6.0
2020-06-05;Salamanca;12081;3752.620871;48;0.398903017;37274;40.833333,-6.0
2020-06-10;Salamanca;12184;3784.614907;26;0.213850962;37274;40.833333,-6.0
2020-06-14;Salamanca;12249;3804.805318;1;0.008164598;37274;40.833333,-6.0
2020-06-16;Salamanca;12319;3826.548837;71;0.579686479;37274;40.833333,-6.0
2020-06-17;Salamanca;12358;3838.663084;110;0.898105813;37274;40.833333,-6.0
2020-03-02;Segovia;13;;3;30.0;40004;41.166667,-4.0
2020-03-08;Segovia;26;;0;0.0;40004;41.166667,-4.0
2020-03-11;Segovia;49;33.5409679;10;25.64102564;40004;41.166667,-4.0
2020-03-13;Segovia;92;62.9748785;28;43.75;40004;41.166667,-4.0
2020-03-25;Segovia;2404;1645.560956;272;12.75797373;40004;41.166667,-4.0
2020-03-29;Segovia;3169;2169.21076;89;2.88961039;40004;41.166667,-4.0
2020-04-02;Segovia;3988;2729.824081;166;4.343275772;40004;41.166667,-4.0
2020-04-17;Segovia;5312;3636.114724;62;1.180952381;40004;41.166667,-4.0
2020-04-18;Segovia;5397;3694.298035;85;1.600150602;40004;41.166667,-4.0
2020-04-19;Segovia;5445;3727.154494;48;0.889382991;40004;41.166667,-4.0
2020-04-22;Segovia;5683;3890.067766;72;1.283193727;40004;41.166667,-4.0
2020-04-23;Segovia;5721;3916.079129;38;0.668660919;40004;41.166667,-4.0
2020-04-26;Segovia;5849;4003.696352;25;0.429258242;40004;41.166667,-4.0
2020-04-29;Segovia;6145;4206.311178;108;1.78896803;40004;41.166667,-4.0
2020-05-04;Segovia;6334;4335.683483;60;0.956327702;40004;41.166667,-4.0
2020-05-06;Segovia;6474;4431.51482;52;0.809716599;40004;41.166667,-4.0
2020-05-07;Segovia;6549;4482.853036;75;1.158480074;40004;41.166667,-4.0
2020-05-09;Segovia;6654;4554.726538;26;0.392275196;40004;41.166667,-4.0
2020-05-12;Segovia;6860;4695.735506;73;1.075585679;40004;41.166667,-4.0
2020-05-14;Segovia;7023;4807.310562;88;1.268925739;40004;41.166667,-4.0
2020-05-15;Segovia;7099;4859.333288;76;1.082158622;40004;41.166667,-4.0
2020-05-19;Segovia;7340;5024.300089;86;1.185552798;40004;41.166667,-4.0
2020-05-21;Segovia;7529;5153.672394;85;1.141859215;40004;41.166667,-4.0
2020-05-23;Segovia;7661;5244.027654;53;0.696635121;40004;41.166667,-4.0
2020-05-24;Segovia;7694;5266.616469;33;0.430753165;40004;41.166667,-4.0
2020-05-25;Segovia;7771;5319.323705;77;1.000779828;40004;41.166667,-4.0
2020-05-27;Segovia;7957;5446.642481;112;1.427660931;40004;41.166667,-4.0
2020-05-29;Segovia;8044;5506.194811;41;0.512307885;40004;41.166667,-4.0
2020-05-30;Segovia;8051;5510.986378;7;0.087021382;40004;41.166667,-4.0
2020-06-09;Segovia;8316;5692.381409;35;0.422654269;40004;41.166667,-4.0
2020-06-11;Segovia;8362;5723.868848;25;0.299868058;40004;41.166667,-4.0
2020-06-14;Segovia;8412;5758.094325;9;0.107104605;40004;41.166667,-4.0
