fecha;provincia;casos_confirmados;nuevos_positivos;altas;fallecimientos;codigo_ine;Posicion
2020-03-15;León;47;14;1;1;24089;42.666667,-6.0
2020-03-15;Palencia;5;2;0;0;34120;42.432128,-4.520647
2020-03-15;Segovia;27;5;0;1;40004;41.166667,-4.0
2020-03-15;Zamora;8;3;0;0;49275;41.75,-6.0
2020-03-16;Zamora;12;4;0;0;49275;41.75,-6.0
2020-03-14;Ávila;10;7;0;0;5019;40.616092,-4.929031
2020-03-14;León;33;1;1;0;24089;42.666667,-6.0
2020-03-14;Salamanca;12;1;1;2;37274;40.833333,-6.0
2020-03-14;Valladolid;21;10;0;0;47186;41.583333,-4.666667
2020-03-14;Zamora;5;0;0;0;49275;41.75,-6.0
2020-03-13;Ávila;3;3;0;0;5019;40.616092,-4.929031
2020-03-13;León;32;22;0;0;24089;42.666667,-6.0
2020-03-13;Palencia;1;1;0;0;34120;42.432128,-4.520647
2020-03-13;Valladolid;11;7;0;0;47186;41.583333,-4.666667
2020-03-17;Ávila;18;1;1;0;5019;40.616092,-4.929031
2020-03-17;Palencia;7;1;1;0;34120;42.432128,-4.520647
2020-03-17;Valladolid;74;18;0;0;47186;41.583333,-4.666667
2020-03-17;Zamora;16;4;0;0;49275;41.75,-6.0
2020-03-18;Soria;40;23;4;4;42173;41.666667,-2.666667
2020-03-18;Valladolid;82;8;0;0;47186;41.583333,-4.666667
2020-03-19;León;134;28;3;5;24089;42.666667,-6.0
2020-03-19;Segovia;121;45;3;7;40004;41.166667,-4.0
2020-03-19;Zamora;31;5;1;1;49275;41.75,-6.0
2020-03-20;Ávila;63;4;4;4;5019;40.616092,-4.929031
2020-03-20;Burgos;208;21;21;12;9059;42.383333,-3.666667
2020-03-20;León;164;30;3;5;24089;42.666667,-6.0
2020-03-20;Palencia;26;12;1;0;34120;42.432128,-4.520647
2020-03-21;Ávila;114;51;14;7;5019;40.616092,-4.929031
2020-03-21;León;201;37;3;7;24089;42.666667,-6.0
2020-03-21;Palencia;41;15;2;0;34120;42.432128,-4.520647
2020-03-21;Salamanca;265;62;13;15;37274;40.833333,-6.0
2020-03-21;Soria;119;39;5;6;42173;41.666667,-2.666667
2020-03-22;Palencia;50;9;2;0;34120;42.432128,-4.520647
2020-03-22;Segovia;194;37;14;20;40004;41.166667,-4.0
2020-03-23;Burgos;336;34;29;18;9059;42.383333,-3.666667
2020-03-23;Segovia;223;29;24;23;40004;41.166667,-4.0
2020-03-23;Soria;140;5;8;11;42173;41.666667,-2.666667
2020-03-23;Valladolid;349;47;17;14;47186;41.583333,-4.666667
2020-03-24;Valladolid;410;61;24;17;47186;41.583333,-4.666667
2020-03-25;Palencia;91;19;11;3;34120;42.432128,-4.520647
2020-03-25;Segovia;300;39;47;34;40004;41.166667,-4.0
2020-03-26;León;516;78;48;46;24089;42.666667,-6.0
2020-03-26;Segovia;361;61;62;37;40004;41.166667,-4.0
2020-03-26;Valladolid;598;97;50;27;47186;41.583333,-4.666667
2020-03-27;Palencia;170;31;20;9;34120;42.432128,-4.520647
2020-03-27;Zamora;124;18;27;12;49275;41.75,-6.0
2020-03-28;Ávila;381;39;78;38;5019;40.616092,-4.929031
2020-03-28;Salamanca;882;106;131;84;37274;40.833333,-6.0
2020-03-28;Soria;431;59;49;26;42173;41.666667,-2.666667
2020-03-29;Ávila;414;33;82;41;5019;40.616092,-4.929031
2020-03-29;Burgos;719;46;137;49;9059;42.383333,-3.666667
2020-03-29;León;821;95;118;77;24089;42.666667,-6.0
2020-03-29;Valladolid;886;79;127;57;47186;41.583333,-4.666667
2020-03-29;Zamora;192;24;30;18;49275;41.75,-6.0
2020-03-30;Burgos;749;30;176;61;9059;42.383333,-3.666667
2020-03-30;Zamora;209;17;36;20;49275;41.75,-6.0
2020-03-31;Ávila;467;21;111;54;5019;40.616092,-4.929031
2020-03-31;Burgos;790;41;215;69;9059;42.383333,-3.666667
2020-03-31;Valladolid;988;59;187;77;47186;41.583333,-4.666667
2020-04-01;Burgos;848;58;250;77;9059;42.383333,-3.666667
2020-04-01;Segovia;811;91;210;81;40004;41.166667,-4.0
2020-04-02;Ávila;560;48;151;64;5019;40.616092,-4.929031
2020-04-02;Burgos;895;47;277;86;9059;42.383333,-3.666667
2020-04-02;León;1066;59;276;127;24089;42.666667,-6.0
2020-04-02;Palencia;383;24;59;24;34120;42.432128,-4.520647
2020-04-02;Salamanca;1413;97;272;155;37274;40.833333,-6.0
2020-04-02;Segovia;886;75;235;88;40004;41.166667,-4.0
2020-04-03;León;1125;59;339;144;24089;42.666667,-6.0
2020-04-03;Soria;752;66;111;49;42173;41.666667,-2.666667
2020-04-03;Zamora;296;18;67;30;49275;41.75,-6.0
2020-04-04;Ávila;638;48;205;69;5019;40.616092,-4.929031
2020-04-04;Burgos;964;24;323;96;9059;42.383333,-3.666667
2020-04-04;Segovia;1051;85;311;102;40004;41.166667,-4.0
2020-04-04;Soria;769;17;136;52;42173;41.666667,-2.666667
2020-04-05;Valladolid;1403;51;465;133;47186;41.583333,-4.666667
2020-04-06;Salamanca;1719;60;402;209;37274;40.833333,-6.0
2020-04-06;Segovia;1252;104;361;109;40004;41.166667,-4.0
2020-04-06;Soria;824;21;164;64;42173;41.666667,-2.666667
2020-04-07;Ávila;766;34;253;83;5019;40.616092,-4.929031
2020-04-07;León;1344;29;564;196;24089;42.666667,-6.0
2020-04-07;Zamora;342;2;107;39;49275;41.75,-6.0
2020-04-08;Ávila;793;27;272;85;5019;40.616092,-4.929031
2020-04-08;Palencia;524;14;137;41;34120;42.432128,-4.520647
2020-04-08;Soria;849;12;182;66;42173;41.666667,-2.666667
2020-04-08;Valladolid;1686;84;604;162;47186;41.583333,-4.666667
2020-04-09;Burgos;1080;27;441;129;9059;42.383333,-3.666667
2020-04-10;Burgos;1126;46;470;132;9059;42.383333,-3.666667
2020-04-10;Soria;898;26;219;80;42173;41.666667,-2.666667
2020-04-10;Zamora;406;38;135;49;49275;41.75,-6.0
2020-04-11;Ávila;897;38;347;94;5019;40.616092,-4.929031
2020-04-11;León;1538;25;751;236;24089;42.666667,-6.0
2020-04-11;Segovia;1760;88;490;139;40004;41.166667,-4.0
2020-04-11;Soria;927;29;228;80;42173;41.666667,-2.666667
2020-04-11;Zamora;408;2;148;51;49275;41.75,-6.0
2020-04-12;Salamanca;2193;78;607;252;37274;40.833333,-6.0
2020-04-12;Soria;990;63;237;83;42173;41.666667,-2.666667
2020-04-13;Burgos;1232;25;517;141;9059;42.383333,-3.666667
2020-04-13;Soria;1013;23;242;85;42173;41.666667,-2.666667
2020-04-13;Valladolid;2492;135;846;210;47186;41.583333,-4.666667
2020-04-14;Palencia;645;9;192;52;34120;42.432128,-4.520647
2020-04-14;Zamora;459;5;175;54;49275;41.75,-6.0
