Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;122;134,3;90816
DEPARTAMENT DE SALUT DE CASTELLO;348;123;283021
DEPARTAMENT DE SALUT DE LA PLANA;501;267,5;187258
DEPARTAMENT DE SALUT DE SAGUNT;266;173,9;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;570;164,9;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;512;160,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;597;206,9;288530
DEPARTAMENT DE SALUT DE REQUENA;338;656,5;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;738;202,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;551;197,1;279561
DEPARTAMENT DE SALUT DE LA RIBERA;341;131,3;259746
DEPARTAMENT DE SALUT DE GANDIA;171;96,2;177754
DEPARTAMENT DE SALUT DE DENIA;100;58,2;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;207;106,4;194513
DEPARTAMENT DE SALUT D'ALCOI;347;253,2;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;550;296,8;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;389;174,6;222767
DEPARTAMENT DE SALUT D'ELDA;386;203,6;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;488;175,5;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;218;128,8;169314
DEPARTAMENT DE SALUT D'ORIHUELA;97;57,7;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;297;159,7;186025
DEPARTAMENT DE SALUT DE MANISES;311;150,1;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;114;72,8;156506
