Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;212;233,4;90816
DEPARTAMENT DE SALUT DE CASTELLO;822;290,4;283021
DEPARTAMENT DE SALUT DE LA PLANA;843;450,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;529;345,8;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1037;299,9;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;805;251,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;951;329,6;288530
DEPARTAMENT DE SALUT DE REQUENA;442;858,4;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1131;310,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;803;287,2;279561
DEPARTAMENT DE SALUT DE LA RIBERA;498;191,7;259746
DEPARTAMENT DE SALUT DE GANDIA;249;140,1;177754
DEPARTAMENT DE SALUT DE DENIA;231;134,5;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;329;169,1;194513
DEPARTAMENT DE SALUT D'ALCOI;499;364,1;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;713;384,7;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;695;312;222767
DEPARTAMENT DE SALUT D'ELDA;616;324,9;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;838;301,3;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;432;255,1;169314
DEPARTAMENT DE SALUT D'ORIHUELA;183;108,8;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;441;237,1;186025
DEPARTAMENT DE SALUT DE MANISES;531;256,3;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;209;133,5;156506
