Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;20;22;90816
DEPARTAMENT DE SALUT DE CASTELLO;39;13,8;283021
DEPARTAMENT DE SALUT DE LA PLANA;65;34,7;187258
DEPARTAMENT DE SALUT DE SAGUNT;25;16,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;60;17,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;32;10;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;58;20,1;288530
DEPARTAMENT DE SALUT DE REQUENA;40;77,7;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;93;25,5;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;56;20;279561
DEPARTAMENT DE SALUT DE LA RIBERA;21;8,1;259746
DEPARTAMENT DE SALUT DE GANDIA;19;10,7;177754
DEPARTAMENT DE SALUT DE DENIA;16;9,3;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;28;14,4;194513
DEPARTAMENT DE SALUT D'ALCOI;97;70,8;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;83;44,8;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;18;8,1;222767
DEPARTAMENT DE SALUT D'ELDA;40;21,1;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;42;15,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;8;4,7;169314
DEPARTAMENT DE SALUT D'ORIHUELA;10;5,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;37;19,9;186025
DEPARTAMENT DE SALUT DE MANISES;32;15,4;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;6;3,8;156506
