Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;217;238,9;90816
DEPARTAMENT DE SALUT DE CASTELLO;853;301,4;283021
DEPARTAMENT DE SALUT DE LA PLANA;857;457,7;187258
DEPARTAMENT DE SALUT DE SAGUNT;539;352,3;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1071;309,8;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;823;257,4;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;961;333,1;288530
DEPARTAMENT DE SALUT DE REQUENA;447;868,1;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1141;313,4;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;820;293,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;551;212,1;259746
DEPARTAMENT DE SALUT DE GANDIA;256;144;177754
DEPARTAMENT DE SALUT DE DENIA;234;136,3;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;336;172,7;194513
DEPARTAMENT DE SALUT D'ALCOI;504;367,7;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;733;395,5;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;709;318,3;222767
DEPARTAMENT DE SALUT D'ELDA;634;334,4;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;863;310,3;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;444;262,2;169314
DEPARTAMENT DE SALUT D'ORIHUELA;187;111,2;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;454;244,1;186025
DEPARTAMENT DE SALUT DE MANISES;538;259,6;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;214;136,7;156506

