Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;169;186,1;90816
DEPARTAMENT DE SALUT DE CASTELLO;448;158,3;283021
DEPARTAMENT DE SALUT DE LA PLANA;591;315,6;187258
DEPARTAMENT DE SALUT DE SAGUNT;317;207,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;652;188,6;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;645;201,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;758;262,7;288530
DEPARTAMENT DE SALUT DE REQUENA;390;757,4;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;850;233,5;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;658;235,4;279561
DEPARTAMENT DE SALUT DE LA RIBERA;392;150,9;259746
DEPARTAMENT DE SALUT DE GANDIA;216;121,5;177754
DEPARTAMENT DE SALUT DE DENIA;195;113,5;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;233;119,8;194513
DEPARTAMENT DE SALUT D'ALCOI;376;274,4;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;646;348,6;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;443;198,9;222767
DEPARTAMENT DE SALUT D'ELDA;433;228,4;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;568;204,2;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;278;164,2;169314
DEPARTAMENT DE SALUT D'ORIHUELA;120;71,4;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;356;191,4;186025
DEPARTAMENT DE SALUT DE MANISES;368;177,6;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;133;85;156506
