Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;170;187,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;499;176,3;283021
DEPARTAMENT DE SALUT DE LA PLANA;629;335,9;187258
DEPARTAMENT DE SALUT DE SAGUNT;341;222,9;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;686;198,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;674;210,8;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;831;288;288530
DEPARTAMENT DE SALUT DE REQUENA;401;778,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;874;240,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;681;243,6;279561
DEPARTAMENT DE SALUT DE LA RIBERA;408;157,1;259746
DEPARTAMENT DE SALUT DE GANDIA;225;126,6;177754
DEPARTAMENT DE SALUT DE DENIA;196;114,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;244;125,4;194513
DEPARTAMENT DE SALUT D'ALCOI;387;282,4;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;659;355,6;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;458;205,6;222767
DEPARTAMENT DE SALUT D'ELDA;454;239,5;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;581;208,9;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;303;179;169314
DEPARTAMENT DE SALUT D'ORIHUELA;127;75,5;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;363;195,1;186025
DEPARTAMENT DE SALUT DE MANISES;406;195,9;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;138;88,2;156506

