Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;235;258,8;90816
DEPARTAMENT DE SALUT DE CASTELLO;905;319,8;283021
DEPARTAMENT DE SALUT DE LA PLANA;908;484,9;187258
DEPARTAMENT DE SALUT DE SAGUNT;556;363,4;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;1170;338,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;875;273,6;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;1020;353,5;288530
DEPARTAMENT DE SALUT DE REQUENA;470;912,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;1215;333,8;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;904;323,4;279561
DEPARTAMENT DE SALUT DE LA RIBERA;580;223,3;259746
DEPARTAMENT DE SALUT DE GANDIA;266;149,6;177754
DEPARTAMENT DE SALUT DE DENIA;255;148,5;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;360;185,1;194513
DEPARTAMENT DE SALUT D'ALCOI;533;388,9;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;824;444,6;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;747;335,3;222767
DEPARTAMENT DE SALUT D'ELDA;674;355,5;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;931;334,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;478;282,3;169314
DEPARTAMENT DE SALUT D'ORIHUELA;209;124,3;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;491;263,9;186025
DEPARTAMENT DE SALUT DE MANISES;561;270,7;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;233;148,9;156506
