Departamento;Casos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;180;198,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;614;216,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;682;364,2;187258
DEPARTAMENT DE SALUT DE SAGUNT;371;242,5;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;727;210,3;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;688;215,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;847;293,6;288530
DEPARTAMENT DE SALUT DE REQUENA;415;806;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;929;255,2;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;704;251,8;279561
DEPARTAMENT DE SALUT DE LA RIBERA;429;165,2;259746
DEPARTAMENT DE SALUT DE GANDIA;235;132,2;177754
DEPARTAMENT DE SALUT DE DENIA;199;115,9;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;274;140,9;194513
DEPARTAMENT DE SALUT D'ALCOI;415;302,8;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;671;362,1;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;481;215,9;222767
DEPARTAMENT DE SALUT D'ELDA;480;253,2;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;591;212,5;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;323;190,8;169314
DEPARTAMENT DE SALUT D'ORIHUELA;136;80,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;376;202,1;186025
DEPARTAMENT DE SALUT DE MANISES;455;219,6;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;150;95,8;156506
