CodMunicipio;Municipio;Casos PCR+;Tasa PCR+;Caso PCR+ 14 dias;Tasas PCR+14;Casos fallecidos;Tasa fallecidos
3001;Adsubia;0;0;0;0;0;0
3002;Agost;4;8,41;0;0;0;0
3003;Agres;0;0;0;0;0;0
3004;Aigües;0;0;0;0;0;0
3005;Albatera;4;3,26;0;0;1;0,81
3006;Alcalalí;1;7,82;0;0;0;0
3007;Alcocer de Planes;0;0;0;0;0;0
3008;Alcoleja;0;0;0;0;0;0
3009;Alcoy/Alcoi;245;41,53;4;0,68;80;13,56
3010;Alfafara;1;24,39;0;0;0;0
3011;Alfàs del Pi (l');29;14,16;0;0;4;1,95
3012;Algorfa;1;3,41;0;0;0;0
3013;Algueña;2;14,97;0;0;0;0
3014;Alicante/Alacant;850;25,38;24;0,72;87;2,6
3015;Almoradí;14;6,73;0;0;2;0,96
3016;Almudaina;0;0;0;0;0;0
3017;Alqueria d'Asnar (l');0;0;0;0;0;0
3018;Altea;28;12,56;1;0,45;4;1,79
3019;Aspe;16;7,72;0;0;0;0
3020;Balones;0;0;0;0;0;0
3021;Banyeres de Mariola;5;7,07;0;0;0;0
3022;Benasau;0;0;0;0;0;0
3023;Beneixama;5;29,67;1;5,93;0;0
3024;Benejúzar;6;11,11;0;0;2;3,7
3025;Benferri;2;10,3;0;0;0;0
3026;Beniarbeig;3;14,34;0;0;0;0
3027;Beniardá;0;0;0;0;0;0
3028;Beniarrés;2;17,89;0;0;0;0
3029;Benigembla;0;0;0;0;0;0
3030;Benidoleig;3;27,4;0;0;0;0
3031;Benidorm;394;57,33;5;0,73;66;9,6
3032;Benifallim;0;0;0;0;0;0
3033;Benifato;0;0;0;0;0;0
3034;Benijófar;2;6,02;0;0;0;0
3035;Benilloba;0;0;0;0;0;0
3036;Benillup;0;0;0;0;0;0
3037;Benimantell;1;20,7;0;0;0;0
3038;Benimarfull;1;24,45;0;0;0;0
3039;Benimassot;0;0;0;0;0;0
3040;Benimeli;0;0;0;0;0;0
3041;Benissa;9;8,18;0;0;2;1,82
3042;Benitachell/Poble Nou de Benitatxell (el);4;9,35;0;0;2;4,68
3043;Biar;10;27,24;0;0;1;2,72
3044;Bigastro;2;2,97;0;0;1;1,49
3045;Bolulla;0;0;0;0;0;0
3046;Busot;0;0;0;0;0;0
3047;Calp;25;11;2;0,88;3;1,32
3048;Callosa d'En Sarrià;65;88,16;0;0;8;10,85
3049;Callosa de Segura;12;6,3;0;0;1;0,53
3050;Campello (el);60;21,16;0;0;5;1,76
3051;Campo de Mirra/Camp de Mirra (el);0;0;0;0;0;0
3052;Cañada;4;32,79;0;0;1;8,2
3053;Castalla;13;12,84;0;0;3;2,96
3054;Castell de Castells;0;0;0;0;0;0
3055;Catral;9;10,42;1;1,16;0;0
3056;Cocentaina;16;13,9;1;0,87;4;3,47
3057;Confrides;0;0;0;0;0;0
3058;Cox;6;8,22;0;0;0;0
3059;Crevillent;35;12,09;0;0;2;0,69
3060;Quatretondeta;0;0;0;0;0;0
3061;Daya Nueva;1;5,76;0;0;2;11,51
3062;Daya Vieja;2;28,99;0;0;1;14,49
3063;Dénia;116;27,51;3;0,71;6;1,42
3064;Dolores;16;21,42;0;0;6;8,03
3065;Elche/Elx;399;17,16;16;0,69;15;0,65
