Departamento;Fallecidos;TASA;POBLAC
DEPARTAMENT DE SALUT DE VINAROS;28;30,8;90816
DEPARTAMENT DE SALUT DE CASTELLO;62;21,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;84;44,9;187258
DEPARTAMENT DE SALUT DE SAGUNT;34;22,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;73;21,1;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;47;14,7;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;82;28,4;288530
DEPARTAMENT DE SALUT DE REQUENA;68;132,1;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;117;32,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;67;24;279561
DEPARTAMENT DE SALUT DE LA RIBERA;28;10,8;259746
DEPARTAMENT DE SALUT DE GANDIA;27;15,2;177754
DEPARTAMENT DE SALUT DE DENIA;19;11,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;37;19;194513
DEPARTAMENT DE SALUT D'ALCOI;110;80,3;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;101;54,5;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;28;12,6;222767
DEPARTAMENT DE SALUT D'ELDA;49;25,8;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;56;20,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;11;6,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;15;8,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;46;24,7;186025
DEPARTAMENT DE SALUT DE MANISES;47;22,7;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;8;5,1;156506
