Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100.000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;190;209,2;90816
DEPARTAMENT DE SALUT DE CASTELLO;679;239,9;283021
DEPARTAMENT DE SALUT DE LA PLANA;731;390,4;187258
DEPARTAMENT DE SALUT DE SAGUNT;418;273,2;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;866;250,5;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;720;225,1;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;878;304,3;288530
DEPARTAMENT DE SALUT DE REQUENA;419;813,8;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;971;266,7;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;722;258,3;279561
DEPARTAMENT DE SALUT DE LA RIBERA;446;171,7;259746
DEPARTAMENT DE SALUT DE GANDIA;237;133,3;177754
DEPARTAMENT DE SALUT DE DENIA;206;119,9;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;300;154,2;194513
DEPARTAMENT DE SALUT D'ALCOI;447;326,2;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;692;373,4;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;547;245,5;222767
DEPARTAMENT DE SALUT D'ELDA;512;270;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;664;238,8;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;364;215;169314
DEPARTAMENT DE SALUT D'ORIHUELA;155;92,2;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;380;204,3;186025
DEPARTAMENT DE SALUT DE MANISES;486;234,5;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;179;114,4;156506
