Departamento de Salud;Casos acumulados desde 31-01-2020;Tasa x 100.000 habitantes;Habitantes del Departamento de Salud en 2019
DEPARTAMENT DE SALUT DE VINAROS;28;30,8;90816
DEPARTAMENT DE SALUT DE CASTELLO;64;22,6;283021
DEPARTAMENT DE SALUT DE LA PLANA;85;45,4;187258
DEPARTAMENT DE SALUT DE SAGUNT;35;22,9;152999
DEPARTAMENT DE SALUT DE VCIA CLINIC-LA MALVA-ROSA;74;21,4;345762
DEPARTAMENT DE SALUT VCIA ARNAU DE VILANOVA LLIRIA;48;15;319787
DEPARTAMENT DE SALUT DE VALENCIA - LA FE;82;28,4;288530
DEPARTAMENT DE SALUT DE REQUENA;68;132,1;51489
DEPARTAMENT DE SALUT DE VALENCIA -HOSPITAL GENERAL;117;32,1;364017
DEPARTAMENT DE SALUT DE VALENCIA - DOCTOR PESET;67;24;279561
DEPARTAMENT DE SALUT DE LA RIBERA;28;10,8;259746
DEPARTAMENT DE SALUT DE GANDIA;27;15,2;177754
DEPARTAMENT DE SALUT DE DENIA;19;11,1;171741
DEPARTAMENT DE SALUT DE XATIVA - ONTINYENT;37;19;194513
DEPARTAMENT DE SALUT D'ALCOI;111;81;137051
DEPARTAMENT DE SALUT DE LA MARINA BAIXA;101;54,5;185316
DEPARTAMENT DE SALUT D'ALACANT-SANT JOAN D'ALACANT;29;13;222767
DEPARTAMENT DE SALUT D'ELDA;49;25,8;189600
DEPARTAMENT DE SALUT D'ALACANT - HOSPITAL GENERAL;56;20,1;278095
DEPARTAMENT DE SALUT D'ELX - HOSPITAL GENERAL;11;6,5;169314
DEPARTAMENT DE SALUT D'ORIHUELA;15;8,9;168148
DEPARTAMENT DE SALUT DE TORREVIEJA;46;24,7;186025
DEPARTAMENT DE SALUT DE MANISES;48;23,2;207215
DEPARTAMENT DE SALUT DE ELX-CREVILLENT;8;5,1;156506
